logg_bin_id,Bin_range,Bin_center,mean_loggs_SDSSV_LSR,e_mean_loggs_SDSSV_LSR,mean_RVs_SDSSV_LSR,e_mean_RVs_SDSSV_LSR,mass_SDSSV_LSR,e_mass_SDSSV_LSR,num_obs_per_bin_SDSSV_LSR,mean_loggs_eSDSS_LSR,e_mean_loggs_eSDSS_LSR,mean_RVs_eSDSS_LSR,e_mean_RVs_eSDSS_LSR,mass_eSDSS_LSR,e_mass_eSDSS_LSR,num_obs_per_bin_eSDSS_LSR,mean_loggs_All_LSR,e_mean_loggs_All_LSR,mean_RVs_All_LSR,e_mean_RVs_All_LSR,mass_All_LSR,e_mass_All_LSR,num_obs_per_bin_All_LSR,mean_loggs_SDSSV_asym,e_mean_loggs_SDSSV_asym,mean_RVs_SDSSV_asym,e_mean_RVs_SDSSV_asym,mass_SDSSV_asym,e_mass_SDSSV_asym,num_obs_per_bin_SDSSV_asym,mean_loggs_eSDSS_asym,e_mean_loggs_eSDSS_asym,mean_RVs_eSDSS_asym,e_mean_RVs_eSDSS_asym,mass_eSDSS_asym,e_mass_eSDSS_asym,num_obs_per_bin_eSDSS_asym,mean_loggs_All_asym,e_mean_loggs_All_asym,mean_RVs_All_asym,e_mean_RVs_All_asym,mass_All_asym,e_mass_All_asym,num_obs_per_bin_All_asym,mean_loggs_SDSSV_debias,e_mean_loggs_SDSSV_debias_sys,e_mean_loggs_SDSSV_debias,mean_RVs_SDSSV_debias,e_mean_RVs_SDSSV_debias_sys,e_mean_RVs_SDSSV_debias,num_obs_per_bin_SDSSV_debias,mean_loggs_eSDSS_debias,e_mean_loggs_eSDSS_debias_sys,e_mean_loggs_eSDSS_debias,mean_RVs_eSDSS_debias,e_mean_RVs_eSDSS_debias_sys,e_mean_RVs_eSDSS_debias,num_obs_per_bin_eSDSS_debias,mean_loggs_All_debias,e_mean_loggs_All_debias_sys,e_mean_loggs_All_debias,mean_RVs_All_debias,e_mean_RVs_All_debias_sys,e_mean_RVs_All_debias,num_obs_per_bin_All_debias,mass_SDSSV_debias,e_mass_SDSSV_debias,mass_eSDSS_debias,e_mass_eSDSS_debias,mass_All_debias,e_mass_All_debias
0,[7.  7.1],7.05,7.0468898211001925,0.0721888154753855,,16.32787362409001,8.330503147648168,,2,7.047313752377547,0.0212220474132848,33.693001285920886,4.447586636101147,6.892337630106941,1.8505291993594528,20,7.047280029019837,0.0203604602207938,28.808417716930844,4.291235387708358,5.039177790565402,1.5197233556525644,22,7.0468898211001925,0.0721888154753855,,16.32787362409001,11.54333622770823,,2,7.047313752377547,0.0212220474132848,34.48265823715473,4.447586636101147,7.21919249803148,1.895386662420468,20,7.047280029019837,0.0203604602207938,29.090513519262416,4.291235387708358,5.138349555180606,1.5349695575827846,22,7.054540548733011,0.017809968030817,0.07435334586283243,,1.7861648685197755,16.42528057665343,2,7.034510571908588,0.0002678584355102001,0.02122373776112921,33.22073484745511,1.2526584562639123,4.620625508919221,20,7.033857091735248,0.0018506107192379998,0.020444390439352436,27.617247998327482,1.3613710533962742,4.50200314279608,22,,,6.900948667344256,1.949084707628376,4.776443083700934,1.5734052107222065
1,[7.1 7.2],7.15,7.143679214250122,0.0393245945656489,0.4179710084027501,6.232006325527259,0.0008495990200053,0.0253353977632063,9,7.159882565164785,0.0266604218652922,31.143383366700377,5.77101031487208,4.544121318372974,1.707039334077425,24,7.154780235936658,0.0220671412043135,16.95900013375877,4.234325633609777,1.3633932839692515,0.6843399186654492,33,7.143679214250122,0.0393245945656489,7.222373470976157,6.232006325527259,0.2536772780915031,0.4383858119643731,9,7.159882565164785,0.0266604218652922,30.549907395630335,5.77101031487208,4.372583686561277,1.673665354397362,24,7.154780235936658,0.0220671412043135,19.780753927218615,4.234325633609777,1.854839533927985,0.7996779072326331,33,7.147287054846364,0.0200161717145909,0.04412562597698362,5.969048880369309,1.340889807620636,6.374628484672081,9,7.1627836923988735,0.0084266942385759,0.0279604590417575,29.54253638850433,1.1814492092158755,5.890703038544446,24,7.158278654471402,0.0049695955403174005,0.02261980549795805,18.668206857002133,1.3644944099288647,4.448747977372056,33,0.1718399409929362,0.36744696821438866,4.061746032700442,1.6407752072588782,1.6388056541259741,0.7857248139688079
2,[7.2 7.3],7.25,7.23638732937952,0.0566402079562939,57.861059074769976,10.425573912431728,13.151834250093676,5.040304042631056,6,7.249186339504017,0.019010426354826,15.79761528061379,2.284407049753519,0.9519138069596248,0.2784376198744809,24,7.247890498976013,0.0180223918141436,17.72463312951366,2.2314667867551226,1.201890519958713,0.3067098033880051,30,7.23638732937952,0.0566402079562939,68.50931491424146,10.425573912431728,18.43795789907532,6.105192177838568,6,7.249186339504017,0.019010426354826,18.276833032533276,2.284407049753519,1.2741379412431306,0.3233532758657452,24,7.247890498976013,0.0180223918141436,20.57809228401756,2.2314667867551226,1.620020913768377,0.3577207128105812,30,7.234054582600107,0.00027573329036199986,0.05664087910846399,67.50900757060154,0.8576704067597625,10.460792987637623,6,7.249884885302518,0.0010910885205532997,0.01904171169700734,17.433342280176305,1.354494259168117,2.6557805382002035,24,7.248632791211332,0.0063248811748825,0.019100019072736372,19.517819390185856,1.4502910654258532,2.6613508214523858,30,17.999886377983877,6.0521523511032385,1.1573836097630228,0.356262273037915,1.4548918051434427,0.401889608770312
3,[7.3 7.4],7.35,7.367076827110317,0.025022983977452,8.900725170545625,3.0117361288555182,0.2303429130401083,0.1564461062868305,18,7.365092916216805,0.0151252128159352,20.339328980183065,2.1357549064011674,1.20831794314511,0.257227317856379,39,7.365623799149907,0.0129442650976096,16.51182057138439,1.742161798981555,0.7953659985360294,0.1695039983738487,57,7.367076827110317,0.025022983977452,6.670218875097249,3.0117361288555182,0.1293612614693016,0.1170558903882364,18,7.365092916216805,0.0151252128159352,22.065858900851765,2.1357549064011674,1.4221639197457605,0.2797225339540481,39,7.365623799149907,0.0129442650976096,16.91427373905389,1.742161798981555,0.8346104338246434,0.1737191951714905,57,7.36678128139248,0.0017085299662582,0.02508124402380037,5.675103299048655,1.311468631237416,3.2848903300678645,18,7.369132877426031,0.0094832539798587,0.01785228749415145,21.231853420434582,1.52571596060724,2.6247396466446595,39,7.368647642347665,0.00036459530983989994,0.012949398775895014,15.938072463128453,1.5251098927687128,2.3154023233234526,57,0.0937059482292983,0.10861354920144327,1.3044992573158032,0.32695876543491875,0.7359102480102768,0.21494158000032254
4,[7.4 7.5],7.45,7.454544949642021,0.02083094316391,24.362838063023087,2.659773968844389,1.4109502682788952,0.3154222538475104,32,7.448467758395992,0.0135740084506512,15.718216287869687,1.4714338416687531,0.595579391521033,0.11305138904309,57,7.450279110375571,0.0113725775559573,17.743931067005526,1.287540448202409,0.7558253815190513,0.1114602168036613,89,7.454544949642021,0.02083094316391,23.516427040943142,2.659773968844389,1.3146151277096747,0.3039850289195776,32,7.448467758395992,0.0135740084506512,17.152955731585664,1.4714338416687531,0.7092691562704857,0.123689424267816,57,7.450279110375571,0.0113725775559573,18.6441230970594,1.287540448202409,0.8344603622563729,0.1173068032808141,89,7.4563875499030425,0.005280940241847799,0.021489916773594454,22.299923004464777,2.6075816441651725,3.7247657102600935,32,7.448511760674381,0.0018119158327829,0.01369440558780992,16.07628073396502,2.4728319149834324,2.8775015604111656,57,7.448080268509286,0.0040824326383779004,0.01208311948600844,17.402204019807392,2.5968203400177927,2.8984886206585987,89,1.1771182045481685,0.3975195646063693,0.6229602004194685,0.22387138981530316,0.7306832342155742,0.24425080371802904
5,[7.5 7.6],7.55,7.559878827535028,0.0191333125126579,23.298855060317237,2.467300745114486,1.012491138570792,0.2190316550667772,51,7.549569570598642,0.011133198991682,13.705436104362915,1.3875426061605187,0.35877076529405,0.0732240164397757,93,7.552177183203457,0.0096227237700437,16.0104799533667,1.2094139678565792,0.4866675823215806,0.0743111879489283,144,7.559878827535028,0.0191333125126579,26.626486739740056,2.467300745114486,1.322360308342027,0.2518982186696789,51,7.549569570598642,0.011133198991682,17.09785392192874,1.3875426061605187,0.558360301485665,0.0917486659277496,93,7.552177183203457,0.0096227237700437,19.38733138214945,1.2094139678565792,0.7136081200087274,0.0904252331440613,144,7.55810770798995,0.0026485492301366,0.019315756799346186,24.07774278925325,3.975590762133894,4.678984384971471,51,7.547821335584988,0.0026191429722662,0.011437133806053008,15.086554458935337,3.323392495897645,3.601418077049581,93,7.548241874341122,0.00029316634315890025,0.009627188543875372,17.176930476513558,3.5649392777526465,3.764501852796749,144,1.0857372364703597,0.42473275403134064,0.43647532105143577,0.2087049953837675,0.5652624550851089,0.24808287021234615
6,[7.6 7.7],7.65,7.659978615715883,0.0123747645599941,24.227076292176083,1.5156314546108405,0.8694093314562127,0.1115646340405717,95,7.663850728227435,0.0073833322718357,19.320173977217895,0.9199615477617302,0.5479894994606896,0.0530118561082135,207,7.662834188819007,0.0063405228309223,20.64128016045383,0.7864276352213151,0.6269601926798882,0.0486430298574209,302,7.659978615715883,0.0123747645599941,23.175494925825152,1.5156314546108405,0.7955735178648362,0.1064984694285422,95,7.663850728227435,0.0073833322718357,21.26741791071105,0.9199615477617302,0.6640177690078075,0.0585453079356319,207,7.662834188819007,0.0063405228309223,21.78113760206771,0.7864276352213151,0.6981163793201465,0.0514322429187901,302,7.659442056148779,0.0062311827185128,0.013855050919674691,19.449824252519317,3.075811584338876,3.4289583853641323,95,7.664607707534808,0.0026515150539695,0.007845006533952498,18.222586823245425,3.010416809359672,3.147846663266085,207,7.661854592378777,0.0039018899754913,0.007444929492633656,18.533097527766127,3.0312745736054794,3.1316280056907893,302,0.5610353233870709,0.19862648554164444,0.4866461006178699,0.16836026085203445,0.5065733388992627,0.17141644928969704
7,[7.7 7.8],7.75,7.7612434146312115,0.008245619590261,25.588083148003356,0.9493798976377148,0.7681269292204352,0.0588348959122187,211,7.756602103932075,0.0048197758287062,22.59822013499809,0.5532440854157946,0.6055461746328965,0.0304017328665799,493,7.757784061703642,0.0041610597703689,23.35615737159233,0.4780034248572212,0.6450889801146135,0.0271183163919705,704,7.7612434146312115,0.008245619590261,25.629331814021377,0.9493798976377148,0.7706054071018898,0.0589355806122102,211,7.756602103932075,0.0048197758287062,25.208285916615623,0.5532440854157946,0.7535037659275997,0.0341149403209863,493,7.757784061703642,0.0041610597703689,25.315022032140295,0.4780034248572212,0.7578329022266079,0.0295258339480877,704,7.761079419733911,0.0043792797807685,0.009336398332630403,21.907870729127282,1.8856847294808219,2.111191390906035,211,7.758779568763072,0.0054221471178976,0.0072546480553577364,22.008967989516584,1.9684302977309294,2.044699698017446,493,7.760538137512807,0.0012324960084457999,0.004339754004942828,21.986194804749886,2.1440107915282134,2.1966496189344054,704,0.563276741051405,0.10923560934193759,0.5715058600003274,0.10661751845593252,0.5680190548209526,0.11364386190678158
8,[7.8 7.9],7.85,7.855891313773028,0.005512803642407,28.712579341278175,0.6080674492311806,0.7777750400367379,0.0343906420782278,464,7.857838109080823,0.0031647661236671,22.27355197697007,0.3486719973391199,0.4659526108312452,0.0149780647907623,1192,7.857355550961383,0.0027446513991989,23.866830021086773,0.3024735517240144,0.5355929210462644,0.013991165939346,1656,7.855891313773028,0.005512803642407,29.206741686701378,0.6080674492311806,0.8047774605930657,0.0350325383685482,464,7.857838109080823,0.0031647661236671,24.30701800923229,0.3486719973391199,0.5549146052484818,0.0164254823662858,1192,7.857355550961383,0.0027446513991989,25.519409526749797,0.3024735517240144,0.6123314852729715,0.0150225326825313,1656,7.857090125425796,0.0038167118742445,0.0067050945952115285,26.68863664577133,0.9770299197551324,1.1507968921192109,464,7.861726509765473,0.0032998258357564,0.0045721543241492085,22.188049409545012,1.0185615030304298,1.076587059732774,1192,7.859697539728713,0.0019990392934126,0.003395477786664496,23.28711108312239,1.1349468551806225,1.1745614558535986,1656,0.6701369297901675,0.058710575985966025,0.45826072509542315,0.044731496491558546,0.5071478503903586,0.05131273956914698
9,[7.9 8. ],7.95,7.950719524040843,0.0044527765614215,30.036716027912014,0.462278939841219,0.6842050453803276,0.0221980749157574,729,7.949154347109817,0.0025399037531238,24.68538993617887,0.2758920360561852,0.4637955054033548,0.0107160294386393,1891,7.949538585003347,0.0022062223516712,26.09083553316145,0.2369083784484796,0.5176524673910945,0.0097615880752812,2620,7.950719524040843,0.0044527765614215,30.10246430149429,0.462278939841219,0.6872036778079658,0.0222515330511433,729,7.949154347109817,0.0025399037531238,26.46933134675253,0.2758920360561852,0.5332520000789511,0.0115454386191665,1891,7.949538585003347,0.0022062223516712,27.42351926708544,0.2369083784484796,0.5718849773567524,0.010299126928867,2620,7.9515217178947495,0.002597587889987,0.005155063719504522,29.601263317482175,0.4529354874216161,0.6471880514862572,729,7.949107849825505,0.0004000305679392,0.00257121285202492,26.12316895983264,0.12853265722969098,0.30436336759497296,1891,7.949323412791938,0.0009382168388167,0.002397429436219719,27.018111126898198,0.244453986388038,0.34041640859407923,2620,0.663284232714812,0.030053083563894297,0.5194512168648417,0.012488919537581265,0.5553764415718179,0.014326877587795314
