logg_bin_id,Bin_range,Bin_center,mean_loggs_cool_SDSSV_LSR,e_mean_loggs_cool_SDSSV_LSR,mean_RVs_cool_SDSSV_LSR,e_mean_RVs_cool_SDSSV_LSR,mass_cool_SDSSV_LSR,e_mass_cool_SDSSV_LSR,num_obs_per_bin_cool_SDSSV_LSR,mean_loggs_cool_eSDSS_LSR,e_mean_loggs_cool_eSDSS_LSR,mean_RVs_cool_eSDSS_LSR,e_mean_RVs_cool_eSDSS_LSR,mass_cool_eSDSS_LSR,e_mass_cool_eSDSS_LSR,num_obs_per_bin_cool_eSDSS_LSR,mean_loggs_cool_All_LSR,e_mean_loggs_cool_All_LSR,mean_RVs_cool_All_LSR,e_mean_RVs_cool_All_LSR,mass_cool_All_LSR,e_mass_cool_All_LSR,num_obs_per_bin_cool_All_LSR,mean_loggs_cool_SDSSV_asym,e_mean_loggs_cool_SDSSV_asym,mean_RVs_cool_SDSSV_asym,e_mean_RVs_cool_SDSSV_asym,mass_cool_SDSSV_asym,e_mass_cool_SDSSV_asym,num_obs_per_bin_cool_SDSSV_asym,mean_loggs_cool_eSDSS_asym,e_mean_loggs_cool_eSDSS_asym,mean_RVs_cool_eSDSS_asym,e_mean_RVs_cool_eSDSS_asym,mass_cool_eSDSS_asym,e_mass_cool_eSDSS_asym,num_obs_per_bin_cool_eSDSS_asym,mean_loggs_cool_All_asym,e_mean_loggs_cool_All_asym,mean_RVs_cool_All_asym,e_mean_RVs_cool_All_asym,mass_cool_All_asym,e_mass_cool_All_asym,num_obs_per_bin_cool_All_asym,mean_loggs_warm_SDSSV_LSR,e_mean_loggs_warm_SDSSV_LSR,mean_RVs_warm_SDSSV_LSR,e_mean_RVs_warm_SDSSV_LSR,mass_warm_SDSSV_LSR,e_mass_warm_SDSSV_LSR,num_obs_per_bin_warm_SDSSV_LSR,mean_loggs_warm_eSDSS_LSR,e_mean_loggs_warm_eSDSS_LSR,mean_RVs_warm_eSDSS_LSR,e_mean_RVs_warm_eSDSS_LSR,mass_warm_eSDSS_LSR,e_mass_warm_eSDSS_LSR,num_obs_per_bin_warm_eSDSS_LSR,mean_loggs_warm_All_LSR,e_mean_loggs_warm_All_LSR,mean_RVs_warm_All_LSR,e_mean_RVs_warm_All_LSR,mass_warm_All_LSR,e_mass_warm_All_LSR,num_obs_per_bin_warm_All_LSR,mean_loggs_warm_SDSSV_asym,e_mean_loggs_warm_SDSSV_asym,mean_RVs_warm_SDSSV_asym,e_mean_RVs_warm_SDSSV_asym,mass_warm_SDSSV_asym,e_mass_warm_SDSSV_asym,num_obs_per_bin_warm_SDSSV_asym,mean_loggs_warm_eSDSS_asym,e_mean_loggs_warm_eSDSS_asym,mean_RVs_warm_eSDSS_asym,e_mean_RVs_warm_eSDSS_asym,mass_warm_eSDSS_asym,e_mass_warm_eSDSS_asym,num_obs_per_bin_warm_eSDSS_asym,mean_loggs_warm_All_asym,e_mean_loggs_warm_All_asym,mean_RVs_warm_All_asym,e_mean_RVs_warm_All_asym,mass_warm_All_asym,e_mass_warm_All_asym,num_obs_per_bin_warm_All_asym,mean_loggs_cool_SDSSV_debias,e_mean_loggs_cool_SDSSV_debias_sys,e_mean_loggs_cool_SDSSV_debias,mean_RVs_cool_SDSSV_debias,e_mean_RVs_cool_SDSSV_debias_sys,e_mean_RVs_cool_SDSSV_debias,num_obs_per_bin_cool_SDSSV_debias,mean_loggs_cool_eSDSS_debias,e_mean_loggs_cool_eSDSS_debias_sys,e_mean_loggs_cool_eSDSS_debias,mean_RVs_cool_eSDSS_debias,e_mean_RVs_cool_eSDSS_debias_sys,e_mean_RVs_cool_eSDSS_debias,num_obs_per_bin_cool_eSDSS_debias,mean_loggs_cool_All_debias,e_mean_loggs_cool_All_debias_sys,e_mean_loggs_cool_All_debias,mean_RVs_cool_All_debias,e_mean_RVs_cool_All_debias_sys,e_mean_RVs_cool_All_debias,num_obs_per_bin_cool_All_debias,mean_loggs_warm_SDSSV_debias,e_mean_loggs_warm_SDSSV_debias_sys,e_mean_loggs_warm_SDSSV_debias,mean_RVs_warm_SDSSV_debias,e_mean_RVs_warm_SDSSV_debias_sys,e_mean_RVs_warm_SDSSV_debias,num_obs_per_bin_warm_SDSSV_debias,mean_loggs_warm_eSDSS_debias,e_mean_loggs_warm_eSDSS_debias_sys,e_mean_loggs_warm_eSDSS_debias,mean_RVs_warm_eSDSS_debias,e_mean_RVs_warm_eSDSS_debias_sys,e_mean_RVs_warm_eSDSS_debias,num_obs_per_bin_warm_eSDSS_debias,mean_loggs_warm_All_debias,e_mean_loggs_warm_All_debias_sys,e_mean_loggs_warm_All_debias,mean_RVs_warm_All_debias,e_mean_RVs_warm_All_debias_sys,e_mean_RVs_warm_All_debias,num_obs_per_bin_warm_All_debias,mass_cool_SDSSV_debias,e_mass_cool_SDSSV_debias,mass_cool_eSDSS_debias,e_mass_cool_eSDSS_debias,mass_cool_All_debias,e_mass_cool_All_debias,mass_warm_SDSSV_debias,e_mass_warm_SDSSV_debias,mass_warm_eSDSS_debias,e_mass_warm_eSDSS_debias,mass_warm_All_debias,e_mass_warm_All_debias
0,[7.  7.1],7.05,7.0468898211001925,0.0721888154753855,,16.32787362409001,8.330503147648168,,2,7.042349297572752,0.0238938065503405,34.749058162941054,4.78260350929787,7.415452843504001,2.081588639034828,16,7.042797617541965,0.0226835483949203,29.077781499641155,4.589761962988377,5.187114313966739,1.6597740036551405,18,7.0468898211001925,0.0721888154753855,,16.32787362409001,11.54333622770823,,2,7.042349297572752,0.0238938065503405,36.007242832250085,4.78260350929787,7.962167996741176,2.1600104660806054,16,7.042797617541965,0.0226835483949203,29.71830838572335,4.589761962988377,5.4181553325989835,1.6973418823174764,18,,,,,,,0,7.069356625793517,0.0532423306196696,28.890662197613096,14.195046265901151,4.816807228815943,4.770042732214872,3,7.069356625793517,0.0532423306196696,28.890662197613096,14.195046265901151,4.816807228815943,4.770042732214872,3,,,,,,,0,7.069356625793517,0.0532423306196696,28.262883652671228,14.195046265901151,4.609748319556039,4.6648549053527475,3,7.069356625793517,0.0532423306196696,28.262883652671228,14.195046265901151,4.609748319556039,4.6648549053527475,3,7.028824730745325,0.0161413945628998,0.07397141135718899,,1.254758862614393,16.376015293335666,2,6.997369104188536,0.0017079708437170993,0.023954773133304397,33.60080135874408,2.0551359154298137,5.205466353559289,16,7.013840702951066,0.039667168275641096,0.04569494071330784,27.444212093437727,1.755765659744962,4.914125347285577,18,,0.0110717790985849,,,1.2870558794683387,,0,7.061987229298581,0.002850093019083599,0.05331855962075153,27.46974224254506,0.5871990051573626,14.207186250722977,3,7.064568868384594,0.011725108603013835,0.05451810654788623,27.554124441820257,1.033353947576315,14.232608997370994,3,,,7.690083673086017,2.420170057296055,4.939258206072185,1.8435982433763562,,,4.429174984518968,4.613642618129747,4.430015661775879,4.610160785058005
1,[7.1 7.2],7.15,7.143679214250122,0.0393245945656489,0.4179710084027501,6.232006325527259,0.0008495990200053,0.0253353977632063,9,7.159543989999686,0.0272573262253746,29.045647251371715,5.9036814914370055,3.955660644749501,1.627070317813853,23,7.154395480713551,0.0224020640774337,15.505749803226356,4.285904842862488,1.140751273854307,0.6333636561754582,32,7.143679214250122,0.0393245945656489,7.222373470976157,6.232006325527259,0.2536772780915031,0.4383858119643731,9,7.159543989999686,0.0272573262253746,27.983197771068884,5.9036814914370055,3.671568141447826,1.5662432353694546,23,7.154395480713551,0.0224020640774337,18.164048302684822,4.285904842862488,1.5654194106402413,0.7431382928836522,32,,,,,,,0,7.167360000000003,0.1280949536814928,76.24920010177922,27.375607581371955,26.773890517406887,20.783852491560037,1,7.167360000000003,0.1280949536814928,76.24920010177922,27.375607581371955,26.773890517406887,20.783852491560037,1,,,,,,,0,7.167360000000003,0.1280949536814928,85.73965842849222,27.375607581371955,33.85356403892215,23.81264234831392,1,7.167360000000003,0.1280949536814928,85.73965842849222,27.375607581371955,33.85356403892215,23.81264234831392,1,7.161319182600205,0.030927206847991197,0.05002915011441926,5.399793763077925,1.5108555322133341,6.4125336085381575,9,7.14925683302382,0.0173305752777545,0.03230032000482982,25.770200529407944,1.372566029984979,6.0611379013354085,23,7.149646569494664,0.0047260965720701004,0.0228951624527536,15.794953564586258,1.4850205233345735,4.535886492935754,32,,0.0194713268193282,,,1.3309163472866175,,0,7.172327117505145,0.0066060561512043,0.12826518286946245,85.22331038059043,0.7219627848615229,27.385125902796116,1,7.171421821541643,0.0015306390452041003,0.12810409835188913,85.24751414827108,0.853175990730932,27.38889920607306,1,0.1361557736832596,0.32376415015618754,3.188450375244473,1.5184749072331347,1.196715831796126,0.6902186089602389,,,33.06667912637666,23.387473683028816,33.15450321286988,23.441627058341172
2,[7.2 7.3],7.25,7.236417805691423,0.0758442552646509,66.45190126372191,12.158830111129769,17.34594302673686,7.033415911105337,4,7.236460424526462,0.0431532495235207,35.21147525337799,5.3408463797532875,4.86977523397584,1.5545147854003194,7,7.236450001733468,0.037507140926567,40.26428124053355,4.889896062533372,6.367820300157749,1.6415420212134744,11,7.236417805691423,0.0758442552646509,77.19900972514355,12.158830111129769,23.41027698768087,8.431702962402309,4,7.236460424526462,0.0431532495235207,37.6011005778241,5.3408463797532875,5.553177920435738,1.6712596427207893,7,7.236450001733468,0.037507140926567,44.005640399149506,4.889896062533372,7.606197331870022,1.813548351006185,11,7.227840000000002,0.1076859390517757,61.78674582024864,23.87452809030687,15.29507264116641,12.413612458986853,1,7.2506702647264785,0.0218503723392735,10.71254280065459,2.624658165156241,0.4362302464892357,0.214883546458462,14,7.249767471603947,0.0214139925322571,11.3224449544127,2.608939933049463,0.4883305149123221,0.2263286020623365,15,7.227840000000002,0.1076859390517757,74.63257135468943,23.87452809030687,22.316069679414163,15.312327623317026,1,7.2506702647264785,0.0218503723392735,12.944462002424638,2.624658165156241,0.6369401771734879,0.2602761523747982,14,7.249767471603947,0.0214139925322571,13.681110026883838,2.608939933049463,0.7129779498372547,0.2741878760468756,15,7.226355400779108,0.0073307161928333996,0.07619770637328525,75.07397048886828,1.910660352144994,12.30803691303267,4,7.240158172617233,0.0046318205747023,0.043401114113297536,35.58358241247369,1.6317792632418495,5.5845629744922665,7,7.236745321780607,0.010094170353811601,0.03884170304733208,41.677172800312135,2.037609444958491,5.297446153814441,11,7.224124592453048,0.003388789823565901,0.10773924710118897,74.14850279990803,0.6408158651039546,23.883126606619594,1,7.24854988982494,0.0018455018298259998,0.02192817020110843,12.548976850240741,0.6054992086632875,2.693596067641396,14,7.251384613942457,0.0023008539577481003,0.021537246924954172,13.238404906317394,0.5989212622786635,2.6768029910080426,15,22.658140679316567,8.426140613889627,4.931080181560946,1.6243420925448038,6.817922787162281,1.8373418547972702,22.21677818773146,15.336546836837893,0.6015443409648452,0.2600189992492334,0.6651010071397618,0.2709814122587075
3,[7.3 7.4],7.35,7.37384152040137,0.0495221056969619,19.76210949856415,7.351320092518345,1.1179592697042624,0.8414533991471127,5,7.368533676820279,0.0383980909871598,25.746893917162033,5.591612479691231,1.9209537537664636,0.851481446065985,13,7.370526610337997,0.0303449516898685,23.55341890032226,4.450485843115086,1.6002292372273168,0.6149854074395069,18,7.37384152040137,0.0495221056969619,17.62987436509682,7.351320092518345,0.889729137737886,0.7489039503438172,5,7.368533676820279,0.0383980909871598,27.149211077370744,5.591612479691231,2.135903612846064,0.8998542073396207,13,7.370526610337997,0.0303449516898685,23.66029221333079,4.450485843115086,1.6147842201288878,0.617868756986978,18,7.365702325287645,0.0341607522795006,5.856037645048606,3.6345340650511297,0.1000244779911697,0.1244088786012631,10,7.364024739904627,0.0182927009389716,17.871490146578957,2.398539983674385,0.935185342181476,0.2540949876795687,20,7.364398585144038,0.0161261626814295,14.22621041892986,2.001907969062499,0.5920805164079901,0.1680788255246485,30,7.365702325287645,0.0341607522795006,2.4569830972719644,3.6345340650511297,0.017607711402422,0.0521114215264905,10,7.364024739904627,0.0182927009389716,19.68655620565947,2.398539983674385,1.1347904214972215,0.2806183490040406,20,7.364398585144038,0.0161261626814295,14.459402791332916,2.001907969062499,0.6116500643216065,0.1708822263529508,30,7.3618355194883485,0.0124473145558843,0.051062457758261064,15.650827751313047,2.090795479624415,7.642861560978442,5,7.370029975590773,0.0141904715247927,0.04093632706477408,25.1782156493772,2.154688165325462,5.992396116148559,13,7.369086176217407,0.00018255569856859993,0.03034550081385267,21.5380186240773,2.2870103824672423,5.00372268708816,18,7.371349350238406,0.009781828579408899,0.03553366244363711,1.6753859023493924,0.7918424688086585,3.7197919787840394,10,7.3564694806451785,0.0020738838529227,0.018409885982212545,19.304912526915984,0.6353165500017184,2.4812539515315244,20,7.365416269392683,0.00495944668305,0.016871551032135283,14.10446806146781,0.6842690857908398,2.1156227684454927,30,0.7208418673997712,0.7091090997730075,1.8307153430157979,0.8883391801750005,1.3425368627252372,0.6308115707172779,0.008081300614255651,0.0358912649174141,1.1103684024988887,0.2892854708039914,0.5806281041360758,0.17563894105860522
4,[7.4 7.5],7.45,7.439998989287295,0.0363029395096381,4.1353468560942765,4.108426579873353,0.0420364269461631,0.0835994362288019,15,7.458841223799207,0.0269169824253663,,2.923500936439152,0.0220223568687079,,24,7.452157191696414,0.0216219497242455,,2.3819877205170403,0.0009806410902438,,39,7.439998989287295,0.0363029395096381,1.998675617950061,4.108426579873353,0.0098194358845231,0.0403775072760201,15,7.458841223799207,0.0269169824253663,,2.923500936439152,0.0090547829927306,,24,7.452157191696414,0.0216219497242455,,2.3819877205170403,0.0009493398647959,,39,7.463607034440959,0.0259765843481644,38.62467037081905,3.5114142456489397,3.4731491732934927,0.6647883222470572,16,7.44464098205452,0.0159698174870428,21.438842219700057,1.713687644047677,1.117796056611141,0.1833655938753564,32,7.449843084490655,0.0136045136976128,24.744721949881605,1.5400696386609256,1.4713736384080458,0.188862245794994,48,7.463607034440959,0.0259765843481644,38.650537687796,3.5114142456489397,3.477802734523824,0.6652770553025216,16,7.44464098205452,0.0159698174870428,23.08587428526008,1.713687644047677,1.2961419584875244,0.1982425216512842,32,7.449843084490655,0.0136045136976128,26.079905460079647,1.5400696386609256,1.6344432280103147,0.1997088179697046,48,7.4426858648763154,0.0034183732449759997,0.036463525510877455,0.2621537520963473,3.241192275354761,5.233019809634703,15,7.457893154290784,0.0036505917655435,0.02716340853291671,,3.0755748213389,4.243349880343878,24,7.457278917118099,0.0011650820854782,0.021653316746949005,,3.234053665995921,4.016586687130705,39,7.460319425743213,0.0062721005558054,0.02672306456564131,37.059498534848444,2.3595772405866615,4.230559627146375,16,7.451058931076181,0.0044354759989301005,0.016574333105936506,22.566673666742144,1.25102898504697,2.121744297220881,32,7.441080160443775,0.0039038044803287,0.0141535325049674,25.289869920528226,1.5928067100660055,2.2155919542091875,48,0.0001678909127299236,0.006702772003254968,,,,,3.2216662701440746,0.76178928084072,1.2203293747192108,0.23415183440768436,1.5682450655301938,0.2794938910184562
5,[7.5 7.6],7.55,7.558540281628796,0.0350229680883354,16.51462415276039,4.099967693179276,0.5102676150187268,0.2566809054741719,19,7.549774828758467,0.0240787395191873,19.726767478858747,2.524591139740364,0.7429129373898679,0.1945629002819926,39,7.552588215111093,0.0198417721027643,18.84368381334957,2.149729928644578,0.673510391486193,0.1567216548181985,58,7.558540281628796,0.0350229680883354,18.692059244387305,4.099967693179276,0.6536946267237314,0.2915714891274046,19,7.549774828758467,0.0240787395191873,23.702593092048865,2.524591139740364,1.0725506050414892,0.2360890484777852,39,7.552588215111093,0.0198417721027643,22.325095220020437,2.149729928644578,0.9453645739280307,0.1871153222913917,58,7.555704586464413,0.0258065175178603,27.126141756832023,3.396127287633646,1.3857100494286572,0.356611543847129,24,7.546809590287784,0.0131969178014279,16.380545292154782,1.7688607109487238,0.5157604291690154,0.1124864027988671,48,7.54865350877491,0.0117497162486057,18.673567859885317,1.5688190715021864,0.6674242755394123,0.1135888133198042,72,7.555704586464413,0.0258065175178603,30.466611121881087,3.396127287633646,1.748012810496122,0.4033086296975012,24,7.546809590287784,0.0131969178014279,18.926188134762487,1.7688607109487238,0.6885216716545149,0.1303893812306922,48,7.54865350877491,0.0117497162486057,21.38882019410011,1.5688190715021864,0.8756308405987365,0.1306171566657651,72,7.5539700685266995,0.013109571877792199,0.037396111676691206,15.880895858504184,4.548739320383039,6.123786776979792,19,7.544027866475133,0.0008182589551211999,0.024092638804217942,20.609199602974144,3.980935096171901,4.7139584918398185,39,7.550347334446266,0.0022003401981480998,0.019963401943697424,19.216944948602375,4.144705893312409,4.669039056183706,58,7.561117325097661,0.0014313881640077002,0.02584618382809524,28.442704592285263,3.330355731937326,4.756569126487879,24,7.546241863555218,0.007545875201197099,0.015201936455915279,17.398986572640936,2.1017410209597003,2.7470317679129135,48,7.544213449570498,0.0082786024275395,0.014373276942855158,19.469637125948445,2.9001314433196654,3.297264876778993,72,0.47684894503614517,0.37003785255805766,0.8216659375679964,0.3786343363038739,0.704080403120176,0.34366074717670453,1.5046148900586946,0.511148021408695,0.5826489141563567,0.18510952319852797,0.7329986317709173,0.24945517851237056
6,[7.6 7.7],7.65,7.661018309908904,0.0265804196923602,16.31695443002409,2.455502258344082,0.3934239464024174,0.1208344369847602,33,7.660829299769358,0.0175851789123254,22.96079200315799,1.9010782175995249,0.7793729493677231,0.1328613438052965,67,7.660886842274291,0.0146660669901438,20.47090148058617,1.5032145153793262,0.6194239497783943,0.0933447495584987,100,7.661018309908904,0.0265804196923602,16.97954589801596,2.455502258344082,0.4260246533058879,0.1259479324916384,33,7.660829299769358,0.0175851789123254,24.422051836667183,1.9010782175995249,0.8817305669312719,0.1418394249080898,67,7.660886842274291,0.0146660669901438,21.63284683325661,1.5032145153793262,0.6917376394194001,0.0989318029977092,100,7.660418911955707,0.0145746997563935,26.74474508892554,2.005745128198042,1.0584221328294043,0.1626797039587188,55,7.665147538357483,0.0087141103514436,17.093131875212332,1.1584880335738106,0.427658045947248,0.0586007608498187,117,7.663902307933755,0.0074792315193887,19.50750585182047,1.003178144747511,0.558601481098698,0.0582522605584946,172,7.660418911955707,0.0145746997563935,24.405114173817843,2.005745128198042,0.8813403924706457,0.1478552663546715,55,7.665147538357483,0.0087141103514436,19.1392418993448,1.1584880335738106,0.5361703866420934,0.0657937366221891,117,7.663902307933755,0.0074792315193887,20.456512359951947,1.003178144747511,0.6142734947663,0.0611690940475674,172,7.659461428885329,0.011784734016096199,0.029075740177201763,12.739842091949676,3.4720474210572476,4.252599750129698,33,7.655255666465499,0.004894024364007,0.01825349259330904,19.935111158594793,3.2437577214072064,3.7597955455875867,67,7.663858504992242,0.0012837302034646998,0.014722142649583082,17.35798178320875,3.2177578515375984,3.5515657772845715,100,7.663616579732128,0.0014731292264089,0.01464895841712703,21.515342723115932,2.8974339452772675,3.5239377103653764,55,7.666142116906818,0.002111455356423,0.008966268060865897,16.812845824161816,2.1121215421441413,2.408973211292118,117,7.663983700741727,0.0030442408932155997,0.008075042212678737,17.906644601501114,2.5138569800261696,2.7066295103182023,172,0.2406952724315072,0.16149566896368076,0.5950898678063473,0.22585908305883182,0.44232435264698367,0.18162537701159875,0.6799560718071286,0.22391391236350003,0.41280147753633734,0.11860040640802097,0.47059317744635476,0.14253126192976293
7,[7.7 7.8],7.75,7.762050733471166,0.0165252307496644,25.390829008021228,1.596027064208872,0.7549252077334152,0.0991587202588818,67,7.757121259903421,0.0106904276946194,20.44606935801509,1.1178985787016158,0.495107264452472,0.0554952291794004,157,7.758575601434276,0.0089759508214149,22.073526051214575,0.9156349860766106,0.5751335789822273,0.0491727472669906,224,7.762050733471166,0.0165252307496644,23.73383388914179,1.596027064208872,0.6596080732085715,0.0921952984902018,67,7.757121259903421,0.0106904276946194,22.289420302386624,1.1178985787016158,0.5884061270656928,0.0607727925719098,157,7.758575601434276,0.0089759508214149,22.76481662615133,0.9156349860766106,0.6117213106333808,0.0508068953806976,224,7.759021007064949,0.0104808409781358,23.453685793918915,1.3421618310822467,0.6486375660104116,0.0758703210129267,115,7.7562621496768624,0.0056788120479316,22.81063640342884,0.6758613455014189,0.6174667175810616,0.0374703252321984,297,7.756888272499533,0.0049929966331017,22.940713147267836,0.6036463055388883,0.6236292196926467,0.0335935316138455,412,7.759021007064949,0.0104808409781358,25.437139673591656,1.3421618310822467,0.7629857754366417,0.0825947706952952,115,7.7562621496768624,0.0056788120479316,25.765819171705996,0.6758613455014189,0.7878193770860353,0.0425949300439057,297,7.756888272499533,0.0049929966331017,25.69933351832755,0.6036463055388883,0.7826297410793991,0.0378510509734469,412,7.7710369228847505,0.0063255759519159,0.01769452351585401,19.417796383396166,2.0527579402286165,2.600214904745149,67,7.758480976499764,0.0079080029542418,0.013297434151676875,17.78834902944149,1.7311794118484833,2.060747288793838,157,7.76005117931556,0.007059847194313599,0.011419681937581116,18.263250643203442,1.587907430844048,1.8329859346588724,224,7.758618752614312,0.0032658868397393,0.010977888888987397,22.69741572335232,1.9458086928129177,2.3638041056399675,115,7.7564044452375045,0.0017936696630797171,0.0059553469366599955,23.457121339942265,1.585613734964483,1.7236471433709992,297,7.757687457136864,0.0027967536463355,0.0057229228840214,23.312922501475597,1.7022446909102058,1.8061079286473252,412,0.43247784234791237,0.11715786521315857,0.3735865283879307,0.08731114755829611,0.39237911065795233,0.07943493854780562,0.6080439489673966,0.12757771629112533,0.6527485001814536,0.09634560634707214,0.6428459051918018,0.09996519348892088
8,[7.8 7.9],7.85,7.862431292911186,0.0099849333523566,27.100171670117753,0.9657348739850048,0.6825173409748868,0.051112389729601,169,7.85826978736185,0.0066250078549387,16.453841134447764,0.6352949554301855,0.2540187129719951,0.019994775485639,436,7.8595418257490435,0.0055203935539698,19.66946427052157,0.5307506249646526,0.3619462955509755,0.0200676523220254,605,7.862431292911186,0.0099849333523566,28.195605098990654,0.9657348739850048,0.7388094550829765,0.0533847342290348,169,7.85826978736185,0.0066250078549387,18.198737221117703,0.6352949554301855,0.3107517763571555,0.0222077408848801,436,7.8595418257490435,0.0055203935539698,21.21819632288588,0.5307506249646526,0.4211880105877416,0.0217406552177027,605,7.852141614781385,0.0074184127170645,31.15313778044263,0.8788867190136577,0.9235552384303424,0.0544459565306164,221,7.857184741564464,0.0037983559036849,24.960597288861337,0.4410997826315876,0.5860384411633852,0.021337509658765,657,7.856137241158775,0.0033809453279704,26.206577602946258,0.3942339892747462,0.6475663536462848,0.0201247438720176,878,7.852141614781385,0.0074184127170645,30.77726219969408,0.8788867190136577,0.901403527198677,0.0537348589157006,221,7.857184741564464,0.0037983559036849,27.24867556696696,0.4410997826315876,0.6984043788439918,0.0234219683874998,657,7.856137241158775,0.0033809453279704,27.958650655042405,0.3942339892747462,0.737048510884948,0.0215630912849361,878,7.865698220457542,0.0002492132800853003,0.0099880429169069,24.914828425530075,1.095876228967569,1.4606808535908904,169,7.864994571424748,0.0034145260792747003,0.007453168280942443,15.1106423305156,0.8935519290965743,1.0963734447656286,436,7.867603095734972,0.0031596652941762995,0.006360678404221795,18.195005701870322,0.9155104420703779,1.0582322974849463,605,7.851580902005695,0.0027352847041121,0.00790661935679554,29.140713509029908,0.8670833920252647,1.234615516500838,221,7.85843352794859,0.0031413073046806,0.004929028215936447,25.84099657770229,0.7273160400554737,0.8506219138722029,657,7.857552233319749,0.0008911746372443999,0.0034964243942623104,26.568265048633158,0.7478746560978172,0.8454211610392237,878,0.5725566723947885,0.06841371424529669,0.21094642981271652,0.030824340650776143,0.30402002849374193,0.035643185635698835,0.8091338301698501,0.07012639166384219,0.6263050135270598,0.04184105535546516,0.6633993721165439,0.0425561620003191
9,[7.9 8. ],7.95,7.946440300577421,0.0077999091004048,26.52201619509668,0.6916705848031789,0.5387331132892919,0.0297185417940615,286,7.948491874882258,0.005011313703528,22.878199724742533,0.4588640554722404,0.398981462782187,0.0166536073642841,762,7.947892449377755,0.004216125449439,23.9917960237846,0.3823710016215655,0.4393736121510104,0.0146402423396729,1048,7.946440300577421,0.0077999091004048,26.04468375461885,0.6916705848031789,0.51951581802192,0.0291284537180493,286,7.948491874882258,0.005011313703528,24.45556638618584,0.4588640554722404,0.4558946283521792,0.0178985811292552,762,7.947892449377755,0.004216125449439,24.941220708962,0.3823710016215655,0.4748362437053806,0.0152716463129032,1048,7.946593834709005,0.0071719316703916,37.33320972125512,0.8474881726440949,1.0670818285710373,0.0515522007682062,228,7.946908593512221,0.0033241074649119,26.553824398954443,0.3911887839456494,0.5394441197754016,0.0164216399721235,835,7.946852933509079,0.003015913031318,28.447111966960023,0.3551770855791897,0.6191905646234422,0.0160486004152048,1063,7.946593834709005,0.0071719316703916,38.12707580217808,0.8474881726440949,1.1129459158238488,0.0527804598622885,228,7.946908593512221,0.0033241074649119,28.64514946464512,0.3911887839456494,0.6277612304819006,0.0178064137320771,835,7.946852933509079,0.003015913031318,30.310551778305445,0.3551770855791897,0.7029681530429459,0.0171827142073989,1063,7.949531167709896,8.355355767800002e-05,0.007800356605410952,25.04706810978406,0.39009705202187206,0.7940931355188298,286,7.948319450279621,0.0008589849259710001,0.005084399683169383,23.38711812101867,0.35614187654151763,0.5808556254620807,762,7.948526985887,0.0006834365632722,0.004271159016171667,23.87733062322721,0.3630893520486467,0.527296368707566,1048,7.944106982269949,0.0038971433233364,0.008162372814775831,38.349694146334755,0.05662961190715879,0.8493780758392476,228,7.945898587781839,0.002218163901043,0.003996240924941003,28.761783585317666,0.0022928479332086915,0.3911955033439428,835,7.9469353514152035,0.0012950235913944,0.0032821970560497704,30.606074636271064,0.13853420687661,0.38123809961159233,1063,0.47707155715786026,0.03144035643492476,0.41709488800418254,0.02128606233898653,0.43455570837476204,0.01966313081938359,1.1324465839826008,0.05449189919262598,0.6343572965613559,0.018216598261174093,0.7166066163474333,0.018655912738976495
