radius_bin_id,Bin_range,Bin_center,mean_radii_cool_SDSSV_LSR,e_mean_radii_cool_SDSSV_LSR,mean_RVs_cool_SDSSV_LSR,e_mean_RVs_cool_SDSSV_LSR,mass_cool_SDSSV_LSR,e_mass_cool_SDSSV_LSR,num_obs_per_bin_cool_SDSSV_LSR,mean_radii_cool_eSDSS_LSR,e_mean_radii_cool_eSDSS_LSR,mean_RVs_cool_eSDSS_LSR,e_mean_RVs_cool_eSDSS_LSR,mass_cool_eSDSS_LSR,e_mass_cool_eSDSS_LSR,num_obs_per_bin_cool_eSDSS_LSR,mean_radii_cool_All_LSR,e_mean_radii_cool_All_LSR,mean_RVs_cool_All_LSR,e_mean_RVs_cool_All_LSR,mass_cool_All_LSR,e_mass_cool_All_LSR,num_obs_per_bin_cool_All_LSR,mean_radii_cool_SDSSV_asym,e_mean_radii_cool_SDSSV_asym,mean_RVs_cool_SDSSV_asym,e_mean_RVs_cool_SDSSV_asym,mass_cool_SDSSV_asym,e_mass_cool_SDSSV_asym,num_obs_per_bin_cool_SDSSV_asym,mean_radii_cool_eSDSS_asym,e_mean_radii_cool_eSDSS_asym,mean_RVs_cool_eSDSS_asym,e_mean_RVs_cool_eSDSS_asym,mass_cool_eSDSS_asym,e_mass_cool_eSDSS_asym,num_obs_per_bin_cool_eSDSS_asym,mean_radii_cool_All_asym,e_mean_radii_cool_All_asym,mean_RVs_cool_All_asym,e_mean_RVs_cool_All_asym,mass_cool_All_asym,e_mass_cool_All_asym,num_obs_per_bin_cool_All_asym,mean_radii_warm_SDSSV_LSR,e_mean_radii_warm_SDSSV_LSR,mean_RVs_warm_SDSSV_LSR,e_mean_RVs_warm_SDSSV_LSR,mass_warm_SDSSV_LSR,e_mass_warm_SDSSV_LSR,num_obs_per_bin_warm_SDSSV_LSR,mean_radii_warm_eSDSS_LSR,e_mean_radii_warm_eSDSS_LSR,mean_RVs_warm_eSDSS_LSR,e_mean_RVs_warm_eSDSS_LSR,mass_warm_eSDSS_LSR,e_mass_warm_eSDSS_LSR,num_obs_per_bin_warm_eSDSS_LSR,mean_radii_warm_All_LSR,e_mean_radii_warm_All_LSR,mean_RVs_warm_All_LSR,e_mean_RVs_warm_All_LSR,mass_warm_All_LSR,e_mass_warm_All_LSR,num_obs_per_bin_warm_All_LSR,mean_radii_warm_SDSSV_asym,e_mean_radii_warm_SDSSV_asym,mean_RVs_warm_SDSSV_asym,e_mean_RVs_warm_SDSSV_asym,mass_warm_SDSSV_asym,e_mass_warm_SDSSV_asym,num_obs_per_bin_warm_SDSSV_asym,mean_radii_warm_eSDSS_asym,e_mean_radii_warm_eSDSS_asym,mean_RVs_warm_eSDSS_asym,e_mean_RVs_warm_eSDSS_asym,mass_warm_eSDSS_asym,e_mass_warm_eSDSS_asym,num_obs_per_bin_warm_eSDSS_asym,mean_radii_warm_All_asym,e_mean_radii_warm_All_asym,mean_RVs_warm_All_asym,e_mean_RVs_warm_All_asym,mass_warm_All_asym,e_mass_warm_All_asym,num_obs_per_bin_warm_All_asym,mean_radii_cool_SDSSV_debias,e_mean_radii_cool_SDSSV_debias_sys,e_mean_radii_cool_SDSSV_debias,mean_RVs_cool_SDSSV_debias,e_mean_RVs_cool_SDSSV_debias_sys,e_mean_RVs_cool_SDSSV_debias,num_obs_per_bin_cool_SDSSV_debias,mean_radii_cool_eSDSS_debias,e_mean_radii_cool_eSDSS_debias_sys,e_mean_radii_cool_eSDSS_debias,mean_RVs_cool_eSDSS_debias,e_mean_RVs_cool_eSDSS_debias_sys,e_mean_RVs_cool_eSDSS_debias,num_obs_per_bin_cool_eSDSS_debias,mean_radii_cool_All_debias,e_mean_radii_cool_All_debias_sys,e_mean_radii_cool_All_debias,mean_RVs_cool_All_debias,e_mean_RVs_cool_All_debias_sys,e_mean_RVs_cool_All_debias,num_obs_per_bin_cool_All_debias,mean_radii_warm_SDSSV_debias,e_mean_radii_warm_SDSSV_debias_sys,e_mean_radii_warm_SDSSV_debias,mean_RVs_warm_SDSSV_debias,e_mean_RVs_warm_SDSSV_debias_sys,e_mean_RVs_warm_SDSSV_debias,num_obs_per_bin_warm_SDSSV_debias,mean_radii_warm_eSDSS_debias,e_mean_radii_warm_eSDSS_debias_sys,e_mean_radii_warm_eSDSS_debias,mean_RVs_warm_eSDSS_debias,e_mean_RVs_warm_eSDSS_debias_sys,e_mean_RVs_warm_eSDSS_debias,num_obs_per_bin_warm_eSDSS_debias,mean_radii_warm_All_debias,e_mean_radii_warm_All_debias_sys,e_mean_radii_warm_All_debias,mean_RVs_warm_All_debias,e_mean_RVs_warm_All_debias_sys,e_mean_RVs_warm_All_debias,num_obs_per_bin_warm_All_debias,mass_cool_SDSSV_debias,e_mass_cool_SDSSV_debias,mass_cool_eSDSS_debias,e_mass_cool_eSDSS_debias,mass_cool_All_debias,e_mass_cool_All_debias,mass_warm_SDSSV_debias,e_mass_warm_SDSSV_debias,mass_warm_eSDSS_debias,e_mass_warm_eSDSS_debias,mass_warm_All_debias,e_mass_warm_All_debias
0,[0.    0.002],0.001,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,,,,,,
1,[0.002 0.004],0.003,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,,,,,,
2,[0.004 0.006],0.005,0.0049258250297768,0.005725249819132,38.10182524073545,9.48205103357699,0.2947827679121029,0.3503894315869796,1,0.0044796258759158,0.0009886467965435,86.58835419947835,24.86927781655149,0.609226183223791,0.2206702596568728,1,0.0044925458390675,0.0009742282258548,44.2557627800256,8.859907104187597,0.3122767695897486,0.0921639727723832,2,0.0049258250297768,0.005725249819132,45.99044207176114,9.48205103357699,0.3558147077143355,0.4200169029490335,1,0.0044796258759158,0.0009886467965435,87.08050925107206,24.86927781655149,0.6126889323014094,0.2211367345891116,1,0.0044925458390675,0.0009742282258548,51.205616519944016,8.859907104187597,0.3613162107538379,0.1002376381051335,2,0.0057198492626536,0.0009031481248483,35.700264677923684,10.85438752989963,0.3207253961452439,0.1098797861838352,3,0.0052754730158928,0.0002450496434809,114.12694751698416,4.779202581758283,0.9456424032744136,0.0591407471043244,12,0.0053059443037886,0.0002364988163661,101.39166082980888,4.373989767911745,0.8449718764414955,0.0524136083332521,15,0.0057198492626536,0.0009031481248483,47.02554546409158,10.85438752989963,0.4224698845788538,0.1181473233339896,3,0.0052754730158928,0.0002450496434809,118.20759515825748,4.779202581758283,0.979454167510336,0.0603164386932891,12,0.0053059443037886,0.0002364988163661,106.64872543408156,4.373989767911745,0.8887828931157633,0.0538339234833748,15,,,,,,,1,0.0048207272177698,0.0001238016947059574,0.0009963680785371395,109.31279630643515,68.89910681758043,73.25003685580764,1,0.0046756084936289,0.0003704991367052502,0.0010423004587696999,74.64172672348616,67.24131297290964,67.82250455575657,2,0.006094029780520501,,,71.40675199625072,,,3,0.0055653338555040005,0.00036082640005520003,0.00043617085958017813,160.98507399141852,59.4907067612705,59.682367314584305,12,0.0055899847929713,0.00034781822875400007,0.00042060576600438585,142.35384599167568,62.86746229706492,63.019438288219256,15,,,0.8276770096946524,0.5804055894359123,0.5481471330365377,0.5128391496064004,0.6834727153053878,,1.4071946136582327,0.5332223011214742,1.2498478916373896,0.5612373312031219
3,[0.006 0.008],0.007,0.0075095593286446,0.0002565319026283,68.43560732254959,3.43829731849441,0.8071865355013675,0.0490404690268344,17,0.0075399336236053,0.0001520580523899,69.61258032084379,2.1805107155665797,0.8243897533450374,0.0307119387328894,30,0.0075320363815369,0.0001308054997435,69.27499021654731,1.841429230018225,0.8195325598797266,0.0260215493946897,47,0.0075095593286446,0.0002565319026283,69.02304241913775,3.43829731849441,0.8141152341569091,0.0491739422571044,17,0.0075399336236053,0.0001520580523899,72.24010487457117,2.1805107155665797,0.8555063174599113,0.0310561252574912,30,0.0075320363815369,0.0001308054997435,71.31735775001349,1.841429230018225,0.8436940456870098,0.0262534002107728,47,0.0069529765980963,0.00026743739282,82.66494965048538,4.235201390701603,0.9027541710516076,0.0578348690816722,13,0.0069882304071847,0.000181567643461,72.16709109825753,3.1078854461943393,0.792106808400138,0.0398396332784256,30,0.006977107712204,0.0001502187415736,75.84149108600079,2.505629904294733,0.8311121303111313,0.0327740905173665,43,0.0069529765980963,0.00026743739282,76.85847389721457,4.235201390701603,0.8393437386066824,0.0564042595408289,13,0.0069882304071847,0.000181567643461,71.61535473038622,3.1078854461943393,0.7860509437839823,0.0397585809064076,30,0.006977107712204,0.0001502187415736,73.4505211032692,2.505629904294733,0.8049105864411055,0.0324695286326629,43,0.007511704749918752,0.00015463714802789203,0.0002995350807773537,91.92422280877405,50.75297896933031,50.86931061761748,17,0.0074359164343207,0.00010679144014012244,0.0001858119021586371,91.39199342249752,44.75631910598261,44.80940444702702,30,0.0073885514941154,0.00011666909741427263,0.00017527623071770973,89.14242351596819,41.7176329812122,41.75825383279681,47,0.0069976583758803255,0.0001774632104696,0.000320960979168086,95.43221979578625,38.99863106230107,39.22792571056077,13,0.006966066366540241,5.487229320198621e-05,0.00018967808970259467,98.63964972877521,44.778518286979015,44.88624123185166,30,0.0070991132651194,0.00012054104779507697,0.00019260273758046914,93.60245368637021,47.035363691550444,47.10205535657354,43,1.08454058039231,0.6017225485505152,1.0673822614943245,0.5240157156888209,1.034477554456995,0.4852160270720846,1.0488782814490583,0.4338228088067828,1.079236089354784,0.491987728227333,1.0436831434896263,0.5259586196687072
4,[0.008 0.01 ],0.009,0.0089859543139608,8.496933886882628e-05,55.28102332418824,1.287499077196034,0.7802209553545517,0.0196119608478047,109,0.009036504478712,4.9281570667281474e-05,47.454102212702246,0.8428061856362102,0.6735216493225039,0.0125132896019224,232,0.0090237801881591,4.2630236318350193e-05,49.80194527130004,0.7051572570318444,0.705849554404523,0.0105359009628762,341,0.0089859543139608,8.496933886882628e-05,55.463925991414946,1.287499077196034,0.7828023926214353,0.0196211562407416,109,0.009036504478712,4.9281570667281474e-05,49.612109123948265,0.8428061856362102,0.70415049501422,0.0125633363140499,232,0.0090237801881591,4.2630236318350193e-05,51.367479775672976,0.7051572570318444,0.7280380819067479,0.0105695449559262,341,0.0091869176936142,0.0001078830431873,54.49008775503603,1.9202836561376793,0.7862572504576126,0.0292063284594552,69,0.00919975178858,6.762887566936881e-05,56.444362404258,1.0454091110196384,0.815593981289723,0.0162520082736707,139,0.009196131177728,5.7300905997696553e-05,55.99757935229465,0.9181654184883888,0.808819739745495,0.014187144798353,208,0.0091869176936142,0.0001078830431873,52.40234693962287,1.9202836561376793,0.7561324805990217,0.0290964290158881,69,0.00919975178858,6.762887566936881e-05,57.22507506297284,1.0454091110196384,0.8268749049894916,0.016282783828528,139,0.009196131177728,5.7300905997696553e-05,56.12251090158557,0.9181654184883888,0.8106242303029847,0.014191142837264,208,0.008853499710323499,7.906888959937143e-06,8.53364367713476e-05,69.8634307709423,24.299876772416532,24.333961145452854,109,0.009013130411298458,9.331265329504474e-06,5.0157210050837856e-05,57.905166652930525,22.557786668517743,22.573525680515736,232,0.009024272687696094,3.27636148423488e-05,5.376608137195942e-05,61.8510334777735,23.640692045465652,23.651206462793557,341,0.0090773645222359,0.00012158448273783525,0.00016254703150159278,64.92637380260709,25.244152590287953,25.317083744415974,69,0.009227366504007026,2.4403838148214993e-05,7.189723319201663e-05,72.04219694243513,23.095756556072885,23.119404211760877,139,0.00919575560950333,7.836006353390543e-05,9.70757095528771e-05,70.03073040164968,22.679597639996487,22.698175628183034,208,0.971498683769553,0.3385098770544215,0.8197290030979273,0.3195925341686914,0.8766707187969596,0.3352706591621629,0.9256744019180789,0.36133351139677483,1.044099888849779,0.33516581110880433,1.0114709338285266,0.32800913229799916
5,[0.01  0.012],0.011,0.0113895321101371,6.297881391622593e-05,33.54308451374194,0.8468697274382067,0.6000483007511945,0.0155086428803626,215,0.0113223778171895,3.378353622018868e-05,27.14357869135074,0.5255391622129973,0.482705313066002,0.0094562067968008,648,0.0113373837209396,2.9770673864789745e-05,28.92284643820105,0.4465437781257582,0.5150284358951753,0.0080657829677548,863,0.0113895321101371,6.297881391622593e-05,33.33411245552038,0.8468697274382067,0.596310024135967,0.0155042335986361,215,0.0113223778171895,3.378353622018868e-05,28.405778126917724,0.5255391622129973,0.50515151961176,0.0094666392257318,648,0.0113373837209396,2.9770673864789745e-05,29.776013041916425,0.4465437781257582,0.5302207532353237,0.0080725677568433,863,0.0112330796851904,0.0001124876269936,37.29662506001581,1.2729352457298888,0.6580300166515558,0.0234053326192358,133,0.0110585120408484,5.7353000014191046e-05,32.704931951492995,0.7089851093870211,0.5680509303531689,0.0126618499343027,318,0.0110945292898815,5.1094970028586314e-05,33.79208871659126,0.6193925410397233,0.5888453477768494,0.0111287246068066,451,0.0112330796851904,0.0001124876269936,36.36020715890042,1.2729352457298888,0.641508653496787,0.0233592932408236,133,0.0110585120408484,5.7353000014191046e-05,33.40727701664769,0.7089851093870211,0.5802499396121338,0.0126767201422349,318,0.0110945292898815,5.1094970028586314e-05,34.106430445489416,0.6193925410397233,0.594322921721041,0.0111348987607257,451,0.0115326424152883,0.0002512467104644363,0.0002590197685920804,38.63707654676411,6.739743545096786,6.792741080662876,215,0.011433231642144,0.00025063646133407114,0.000252903070502527,32.822066203438794,6.491634117496346,6.51287224859064,648,0.011480289796826299,0.0002291628083976163,0.00023108848040317,34.426230986784915,6.832352844201999,6.846929730430857,863,0.011275865886270543,8.462785027322195e-05,0.00014076696795952578,43.08605140986832,9.290351889332008,9.377153212326022,133,0.011100609360434888,0.0001788100178646102,0.00018778282429277184,41.13848265302712,7.999391406119763,8.03074857990432,318,0.011092303279017486,0.00012179660916437385,0.00013207993778830063,41.98317109029024,8.590648110645207,8.612948512607497,451,0.6998587796894439,0.12404135599735877,0.5894028753422089,0.11767946742506691,0.6207541904001881,0.12409064235558681,0.7630692056624006,0.16634568775372166,0.7172530759559727,0.14054154491717197,0.7314325858300917,0.15030769540172043
6,[0.012 0.014],0.013,0.0127165810441393,4.33117321621885e-05,24.82752993155842,0.5867805892672635,0.4958852700289368,0.0118409587261046,432,0.0127747812293437,2.4952646480442283e-05,21.49945582343713,0.3743220700433466,0.4313782750627204,0.0075577445962546,1156,0.0127602777846156,2.162115805421724e-05,22.46207430488956,0.3155777260574094,0.4501811631014163,0.006370588272078,1588,0.0127165810441393,4.33117321621885e-05,24.67686555592254,0.5867805892672635,0.4928760200229193,0.0118395011542552,432,0.0127747812293437,2.4952646480442283e-05,23.60644244113879,0.3743220700433466,0.4736541475400856,0.0075673958467049,1156,0.0127602777846156,2.162115805421724e-05,23.916053657652945,0.3155777260574094,0.4793215758374735,0.0063766887883896,1588,0.0131482832343329,5.102816451397644e-05,33.17880428104647,0.6712380714800958,0.685183840519045,0.0141146624629726,406,0.0131882961220687,2.8463755729741748e-05,27.556663183339367,0.3183271114533824,0.5708114136430833,0.0067079577654671,1308,0.0131788007216062,2.48580262325343e-05,28.588935663030924,0.2876225187751232,0.59176763471908,0.0060572829095842,1714,0.0131482832343329,5.102816451397644e-05,34.03303084784679,0.6712380714800958,0.7028246884156643,0.0141277209252301,406,0.0131882961220687,2.8463755729741748e-05,29.92047151868216,0.3183271114533824,0.6197755704606654,0.0067281680476003,1308,0.0131788007216062,2.48580262325343e-05,30.67557206539857,0.2876225187751232,0.6349593051926538,0.0060728234028212,1714,0.012675426749711097,6.258724875044322e-05,7.61122187893574e-05,24.244376401780745,0.7679450681596087,0.966463184840221,432,0.012739848237149798,6.402254252007786e-05,6.871332124932622e-05,23.336714477612347,0.7169838855665133,0.8088157418618849,1156,0.01270512001232748,5.259215754328285e-05,5.686307686594989e-05,23.556281141401797,0.7526699361164865,0.8161503133107045,1588,0.0132525169902305,0.00015528496096445983,0.00016345425254608476,34.68754428728357,0.3020501919396494,0.7360671620545894,406,0.0133319473481392,0.0001048718987271751,0.00010866600449489838,30.378896144636133,0.302336746063542,0.4390212499487295,1308,0.0133304956535739,0.00011184406157339831,0.00011457318873720622,31.234787728579946,0.38437962341071596,0.4800775022846935,1714,0.4826707022619628,0.019457957288416716,0.46696173903497373,0.016378997894848302,0.47007032024510337,0.01642176652008838,0.7220200455290328,0.017721269720990186,0.6361256526890565,0.010554357041560925,0.6539765666541336,0.011516425885486474
7,[0.014 0.016],0.015,0.0149140248092265,0.0001172612076482,29.00723639498032,1.2258773321118173,0.6794829223125869,0.0292084254291629,112,0.0147867166072929,7.339985212226607e-05,17.34368462213179,0.8883870184658169,0.4028009143575159,0.0207291292772974,246,0.0148225556459155,6.221632377678715e-05,21.359921697472444,0.7193516999498815,0.4972789504740567,0.0168767531215205,358,0.0149140248092265,0.0001172612076482,28.550545200376614,1.2258773321118173,0.6687851135562364,0.0291931580163413,112,0.0147867166072929,7.339985212226607e-05,18.83716092099124,0.8883870184658169,0.4374863708714227,0.0207464445634967,246,0.0148225556459155,6.221632377678715e-05,22.18187570681768,0.7193516999498815,0.5164148084090373,0.0168868751630226,358,0.0147295415568521,9.44901642220602e-05,30.449313280921583,0.9688439909468995,0.7044400885798732,0.0228650625362259,169,0.0146577471110261,4.685948751613154e-05,24.5827921896774,0.4310259313680162,0.5659470036201312,0.0100867079801706,720,0.0146719186502373,4.198070149861473e-05,25.552074669756433,0.3938117893272195,0.5888306510665,0.0092302024005865,889,0.0147295415568521,9.44901642220602e-05,31.27748072134392,0.9688439909468995,0.7235996124649522,0.0228896709551552,169,0.0146577471110261,4.685948751613154e-05,26.73625419927981,0.4310259313680162,0.6155241778622026,0.0101163391396278,720,0.0146719186502373,4.198070149861473e-05,27.486567926520404,0.3938117893272195,0.6334097679713327,0.0092543350540781,889,0.014819466992281876,9.983068124556733e-05,0.0001540011549861505,24.71496588890406,5.792571349459568,5.920866327824453,112,0.01468960801448958,0.00027291500912030297,0.0002826130578984375,15.834781664909727,4.907454331573014,4.987217612161446,246,0.0147149881906432,0.0002483607327356136,0.0002560350064137107,18.858074664046494,5.098297956033218,5.148796841662454,358,0.0145796641512834,0.00014246077171270832,0.00017094871339583782,29.380918293246218,2.80902251128218,2.971408108571416,169,0.0144836487413813,0.00015850217984606554,0.00016528385458425453,24.500421032196666,2.7900949445408756,2.8231920149122374,720,0.0145412850203112,0.00014736140129327225,0.00015322454728088647,25.32474286756112,2.7115078887195487,2.7399567069575115,889,0.5752676199908269,0.13794417801435324,0.36534201271230116,0.11528017070099059,0.435847540167418,0.11924031437527793,0.6728065577946787,0.06849935210625963,0.5573510990366344,0.06453793860077546,0.5783958416923513,0.06287439667216081
8,[0.016 0.018],0.017,0.0171075515426439,0.000132274811561,22.283455784680395,1.369677388471838,0.5987530394242109,0.0370930578663992,83,0.0171298398571396,8.775950842121128e-05,13.429563439261033,1.033202322744302,0.3613204383457479,0.02785972312892,162,0.0171230275634191,7.312825668608152e-05,16.640542868788252,0.8248404098004981,0.4475333213886093,0.0222655710761046,245,0.0171075515426439,0.000132274811561,20.751232799415664,1.369677388471838,0.5575824428000727,0.037054673733672,83,0.0171298398571396,8.775950842121128e-05,14.821326794141406,1.033202322744302,0.3987656276650663,0.0278731269711393,162,0.0171230275634191,7.312825668608152e-05,16.971884476471537,0.8248404098004981,0.4564444735889906,0.0222688702480053,245,0.0167694840640748,0.0001762070747262,25.65427106817966,1.9555085831780512,0.6757043439210657,0.0519929368792976,50,0.0166844488080656,0.0001171491450199,16.962847409795767,0.9728163641735034,0.4445165649344142,0.0256833020705402,131,0.01671051409308,9.755624342223936e-05,18.68709321759917,0.8709913780641618,0.4904659851220984,0.0230388768218193,181,0.0167694840640748,0.0001762070747262,24.080741561191992,1.9555085831780512,0.6342593650193524,0.0519352595587163,50,0.0166844488080656,0.0001171491450199,19.042151088561493,0.9728163641735034,0.4990053489463881,0.0257325985811087,131,0.01671051409308,9.755624342223936e-05,20.04173054080588,0.8709913780641618,0.5260201251626704,0.0230655932938254,181,0.0172512793365351,0.00024335052431546494,0.00027697672006526063,17.34938650315322,8.630656254438996,8.738663715395964,83,0.017309054358048,0.00019078398496823754,0.0002100006196150224,12.777608849193356,7.3797220692078,7.45169811911868,162,0.017231167074877,0.00010458143537767264,0.00012761276798032298,15.036088032455197,7.57762503004758,7.6223856369015754,245,0.016781184122888374,0.0001218733077402483,0.0002142476051747461,21.210359914316488,5.451609048009505,5.791722976042806,50,0.016604236383458947,0.00014005034276071964,0.00018258702222854892,15.463958220317128,5.271781871232161,5.36078872706767,131,0.016633697560144444,0.0001331760895210612,0.00016508510366105395,16.65487814169776,5.3696004637222075,5.439782635424677,181,0.47009189135074614,0.23689952443025608,0.34737636118860393,0.2026281992844052,0.40693672315035695,0.206314276314366,0.5590465491134546,0.15282059925831806,0.4032894914028708,0.1398760353585498,0.43511854207219547,0.1421831344544277
9,[0.018 0.02 ],0.019,0.0187185462229048,0.0002126050335216,18.95365780751346,2.0134715779324748,0.5572402548988178,0.0595337388133536,41,0.0190062360164302,0.0001065537059491,9.748665662881818,1.2900100906795402,0.291017177746551,0.0385439280482202,94,0.0189484804702677,9.52594704015246e-05,12.427530270957712,1.0861984399064395,0.369859304442715,0.0323800950422029,135,0.0187185462229048,0.0002126050335216,19.985678426030123,2.0134715779324748,0.58758180893358,0.059571361370047,41,0.0190062360164302,0.0001065537059491,12.533237057253276,1.2900100906795402,0.3741422059757177,0.0385664647052346,94,0.0189484804702677,9.52594704015246e-05,14.7020690467754,1.0861984399064395,0.4375525074532825,0.0324014184503996,135,0.0191210390948083,0.0002925101420109,29.908624862420627,2.728650902221825,0.8982252626046517,0.0830917463297487,21,0.0190102241319819,0.000171055360028,20.067210013752145,1.4091415624810866,0.5991720737621221,0.0424185400003026,60,0.0190384629309117,0.0001476606706814,22.139254670624656,1.252041610458022,0.6620216757612704,0.0377897707673498,81,0.0191210390948083,0.0002925101420109,28.727862528209776,2.728650902221825,0.8627642354728818,0.0830037612424754,21,0.0190102241319819,0.000171055360028,23.77389059943216,1.4091415624810866,0.709847124841653,0.0425565793371636,60,0.0190384629309117,0.0001476606706814,24.81691654876595,1.252041610458022,0.7420907761019077,0.0378791455981935,81,0.01861945008105297,2.9508994489162166e-05,0.0002146431481191097,19.04950209533297,7.1570997086758865,7.434927305298308,41,0.018999204547042257,3.62912569794524e-05,0.00011256441526804073,11.85185397537087,5.1199648435451,5.279977844005866,94,0.01885150745595995,2.3259860819694472e-05,9.805808394278617e-05,14.07052970272402,5.535466094150118,5.641029332519088,135,0.019397876461017198,0.00012486641999673862,0.0003180468613617164,27.167151749622096,5.8447200934752015,6.450293692326633,21,0.019106874932714454,0.00010737728974787142,0.0002019648943452971,20.795460815970685,5.95427354832689,6.1187460669173825,60,0.019185928460139102,0.00011022607604554285,0.0001842646507241111,22.21512377762664,6.058808412445522,6.186822089977936,81,0.5570931384277549,0.21752554386692294,0.3536706665119461,0.15757352524950802,0.4166140018777021,0.1670391700229186,0.8277050944023983,0.19698994774215509,0.6240732101979509,0.1837424430037289,0.669435730351048,0.18654597033808176
