logg_bin_id,Bin_range,Bin_center,mean_loggs_SDSSV_LSR,e_mean_loggs_SDSSV_LSR,mean_RVs_SDSSV_LSR,e_mean_RVs_SDSSV_LSR,mass_SDSSV_LSR,e_mass_SDSSV_LSR,num_obs_per_bin_SDSSV_LSR,mean_loggs_eSDSS_LSR,e_mean_loggs_eSDSS_LSR,mean_RVs_eSDSS_LSR,e_mean_RVs_eSDSS_LSR,mass_eSDSS_LSR,e_mass_eSDSS_LSR,num_obs_per_bin_eSDSS_LSR,mean_loggs_All_LSR,e_mean_loggs_All_LSR,mean_RVs_All_LSR,e_mean_RVs_All_LSR,mass_All_LSR,e_mass_All_LSR,num_obs_per_bin_All_LSR,mean_loggs_SDSSV_asym,e_mean_loggs_SDSSV_asym,mean_RVs_SDSSV_asym,e_mean_RVs_SDSSV_asym,mass_SDSSV_asym,e_mass_SDSSV_asym,num_obs_per_bin_SDSSV_asym,mean_loggs_eSDSS_asym,e_mean_loggs_eSDSS_asym,mean_RVs_eSDSS_asym,e_mean_RVs_eSDSS_asym,mass_eSDSS_asym,e_mass_eSDSS_asym,num_obs_per_bin_eSDSS_asym,mean_loggs_All_asym,e_mean_loggs_All_asym,mean_RVs_All_asym,e_mean_RVs_All_asym,mass_All_asym,e_mass_All_asym,num_obs_per_bin_All_asym,mean_loggs_SDSSV_debias,e_mean_loggs_SDSSV_debias_sys,e_mean_loggs_SDSSV_debias,mean_RVs_SDSSV_debias,e_mean_RVs_SDSSV_debias_sys,e_mean_RVs_SDSSV_debias,num_obs_per_bin_SDSSV_debias,mean_loggs_eSDSS_debias,e_mean_loggs_eSDSS_debias_sys,e_mean_loggs_eSDSS_debias,mean_RVs_eSDSS_debias,e_mean_RVs_eSDSS_debias_sys,e_mean_RVs_eSDSS_debias,num_obs_per_bin_eSDSS_debias,mean_loggs_All_debias,e_mean_loggs_All_debias_sys,e_mean_loggs_All_debias,mean_RVs_All_debias,e_mean_RVs_All_debias_sys,e_mean_RVs_All_debias,num_obs_per_bin_All_debias,mass_SDSSV_debias,e_mass_SDSSV_debias,mass_eSDSS_debias,e_mass_eSDSS_debias,mass_All_debias,e_mass_All_debias
0,[7.  7.1],7.05,7.0468898211001925,0.0721888154753855,,16.32787362409001,8.330503147648168,,2,7.047313752377547,0.0212220474132848,33.693001285920886,4.447586636101147,6.892337630106941,1.8505291993594528,20,7.047280029019837,0.0203604602207938,28.808417716930844,4.291235387708358,5.039177790565402,1.5197233556525644,22,7.0468898211001925,0.0721888154753855,,16.32787362409001,11.54333622770823,,2,7.047313752377547,0.0212220474132848,34.48265823715473,4.447586636101147,7.21919249803148,1.895386662420468,20,7.047280029019837,0.0203604602207938,29.090513519262416,4.291235387708358,5.138349555180606,1.5349695575827846,22,7.038259377350736,2.768094510149921e-05,0.07218882078254207,,1.0337535358313075,16.360565499306496,2,7.031126783899728,0.0067394228814175,0.0222664572212618,33.168653810500075,1.171675826161058,4.599331595703414,20,7.048343732088077,0.0020947511722155003,0.020467934015821553,27.821997992179178,1.6039684591006456,4.581202459017741,22,,,6.933137386131569,1.9553486855840136,4.688498666921366,1.559758219322754
1,[7.1 7.2],7.15,7.143679214250122,0.0393245945656489,0.4179710084027501,6.232006325527259,0.0008495990200053,0.0253353977632063,9,7.159882565164785,0.0266604218652922,31.143383366700377,5.77101031487208,4.544121318372974,1.707039334077425,24,7.154780235936658,0.0220671412043135,16.95900013375877,4.234325633609777,1.3633932839692515,0.6843399186654492,33,7.143679214250122,0.0393245945656489,7.222373470976157,6.232006325527259,0.2536772780915031,0.4383858119643731,9,7.159882565164785,0.0266604218652922,30.549907395630335,5.77101031487208,4.372583686561277,1.673665354397362,24,7.154780235936658,0.0220671412043135,19.780753927218615,4.234325633609777,1.854839533927985,0.7996779072326331,33,7.140352771986343,0.011122292823933299,0.04086721345301122,6.012496586535567,1.3084384689153679,6.367881442705207,9,7.1604906018586325,0.0027859655583064,0.02680559079982047,29.55667574441326,1.108920741646772,5.8765861914562585,24,7.153856374563003,0.0072645361918421,0.023232137375060743,18.705414397413385,1.2834641466240786,4.424567073411174,33,0.17715679418607924,0.3756263553981956,4.087158419983823,1.6447147894888265,1.6621843631361277,0.7913553324771846
2,[7.2 7.3],7.25,7.23638732937952,0.0566402079562939,57.861059074769976,10.425573912431728,13.151834250093676,5.040304042631056,6,7.249186339504017,0.019010426354826,15.79761528061379,2.284407049753519,0.9519138069596248,0.2784376198744809,24,7.247890498976013,0.0180223918141436,17.72463312951366,2.2314667867551226,1.201890519958713,0.3067098033880051,30,7.23638732937952,0.0566402079562939,68.50931491424146,10.425573912431728,18.43795789907532,6.105192177838568,6,7.249186339504017,0.019010426354826,18.276833032533276,2.284407049753519,1.2741379412431306,0.3233532758657452,24,7.247890498976013,0.0180223918141436,20.57809228401756,2.2314667867551226,1.620020913768377,0.3577207128105812,30,7.238197726317458,0.0102789554691291,0.057565354883545694,67.38289165816428,1.1122794773838878,10.484739245178508,6,7.246963575400355,0.0049771356355482995,0.019651162543903294,17.430540390005742,1.0427589819044467,2.511147519224224,24,7.248726275582546,0.0037587150975086003,0.01841017506398973,19.683923457473107,1.1661430366335406,2.517803328753087,30,17.762433349719558,6.008167603286583,1.164820557446194,0.3397353001264639,1.4794420506924377,0.38363666155749776
3,[7.3 7.4],7.35,7.367076827110317,0.025022983977452,8.900725170545625,3.0117361288555182,0.2303429130401083,0.1564461062868305,18,7.365092916216805,0.0151252128159352,20.339328980183065,2.1357549064011674,1.20831794314511,0.257227317856379,39,7.365623799149907,0.0129442650976096,16.51182057138439,1.742161798981555,0.7953659985360294,0.1695039983738487,57,7.367076827110317,0.025022983977452,6.670218875097249,3.0117361288555182,0.1293612614693016,0.1170558903882364,18,7.365092916216805,0.0151252128159352,22.065858900851765,2.1357549064011674,1.4221639197457605,0.2797225339540481,39,7.365623799149907,0.0129442650976096,16.91427373905389,1.742161798981555,0.8346104338246434,0.1737191951714905,57,7.372448249494747,0.0008270390770324003,0.02503664755455007,5.534956886609584,1.7718764232811512,3.4942954324488973,18,7.361674247380953,0.0016990124468224,0.01522033856462424,21.07338206793891,1.4703862575930113,2.5929683312248613,39,7.359915033567538,0.0024373728560132,0.013171741925668905,16.050133069027602,1.5990214923136015,2.3647404649795005,57,0.08797942805401689,0.11120100513020909,1.3073598218481481,0.3249735745437101,0.7614530671216753,0.2255621768514477
4,[7.4 7.5],7.45,7.454544949642021,0.02083094316391,24.362838063023087,2.659773968844389,1.4109502682788952,0.3154222538475104,32,7.448467758395992,0.0135740084506512,15.718216287869687,1.4714338416687531,0.595579391521033,0.11305138904309,57,7.450279110375571,0.0113725775559573,17.743931067005526,1.287540448202409,0.7558253815190513,0.1114602168036613,89,7.454544949642021,0.02083094316391,23.516427040943142,2.659773968844389,1.3146151277096747,0.3039850289195776,32,7.448467758395992,0.0135740084506512,17.152955731585664,1.4714338416687531,0.7092691562704857,0.123689424267816,57,7.450279110375571,0.0113725775559573,18.6441230970594,1.287540448202409,0.8344603622563729,0.1173068032808141,89,7.451711608148958,0.0005278552839467,0.020837630006765147,21.881699889938503,3.1309489622661655,4.108191690958178,32,7.44723032729256,0.002681331544811,0.013836301683309335,15.9911506663334,2.464089913111078,2.869992447778186,57,7.4460516737796345,0.0003507336886494003,0.01137798463642034,17.427746890614358,2.4580026863770996,2.774804067316159,89,1.1456485389963398,0.43367856276856087,0.6182014254069884,0.22277425162004297,0.73626085882991,0.23524353073907078
5,[7.5 7.6],7.55,7.559878827535028,0.0191333125126579,23.298855060317237,2.467300745114486,1.012491138570792,0.2190316550667772,51,7.549569570598642,0.011133198991682,13.705436104362915,1.3875426061605187,0.35877076529405,0.0732240164397757,93,7.552177183203457,0.0096227237700437,16.0104799533667,1.2094139678565792,0.4866675823215806,0.0743111879489283,144,7.559878827535028,0.0191333125126579,26.626486739740056,2.467300745114486,1.322360308342027,0.2518982186696789,51,7.549569570598642,0.011133198991682,17.09785392192874,1.3875426061605187,0.558360301485665,0.0917486659277496,93,7.552177183203457,0.0096227237700437,19.38733138214945,1.2094139678565792,0.7136081200087274,0.0904252331440613,144,7.556716739730379,0.0065074542462947,0.02020966621383565,23.960986317688317,3.6401997367744663,4.397570589593235,51,7.550123379489748,0.00026502577438770013,0.011136353013867641,15.021110581654103,3.6548012465305835,3.9093281565445785,93,7.546078484108696,0.0031636214475315,0.010129428089376287,17.026429330604557,3.557847615490262,3.7577868221462936,144,1.0786822731000816,0.39911121814161543,0.4304092598334203,0.2243045321020916,0.5581739644051715,0.24672523557874299
6,[7.6 7.7],7.65,7.659978615715883,0.0123747645599941,24.227076292176083,1.5156314546108405,0.8694093314562127,0.1115646340405717,95,7.663850728227435,0.0073833322718357,19.320173977217895,0.9199615477617302,0.5479894994606896,0.0530118561082135,207,7.662834188819007,0.0063405228309223,20.64128016045383,0.7864276352213151,0.6269601926798882,0.0486430298574209,302,7.659978615715883,0.0123747645599941,23.175494925825152,1.5156314546108405,0.7955735178648362,0.1064984694285422,95,7.663850728227435,0.0073833322718357,21.26741791071105,0.9199615477617302,0.6640177690078075,0.0585453079356319,207,7.662834188819007,0.0063405228309223,21.78113760206771,0.7864276352213151,0.6981163793201465,0.0514322429187901,302,7.6591099825579985,0.0072178721649205,0.014325937194627795,19.59694123154108,2.8387799058882948,3.2180444465981086,95,7.6620924799042545,0.0042854555750712,0.008536903708150828,18.10400060232264,3.112402301798877,3.2455164978171203,207,7.662556745172066,0.001504928762051,0.00651667402501424,18.39995245828607,3.062590804847872,3.161950484017504,302,0.5699903420072693,0.18813988354354663,0.4831227959329923,0.17347963664758528,0.49851422539015183,0.17149814480086878
7,[7.7 7.8],7.75,7.7612434146312115,0.008245619590261,25.588083148003356,0.9493798976377148,0.7681269292204352,0.0588348959122187,211,7.756602103932075,0.0048197758287062,22.59822013499809,0.5532440854157946,0.6055461746328965,0.0304017328665799,493,7.757784061703642,0.0041610597703689,23.35615737159233,0.4780034248572212,0.6450889801146135,0.0271183163919705,704,7.7612434146312115,0.008245619590261,25.629331814021377,0.9493798976377148,0.7706054071018898,0.0589355806122102,211,7.756602103932075,0.0048197758287062,25.208285916615623,0.5532440854157946,0.7535037659275997,0.0341149403209863,493,7.757784061703642,0.0041610597703689,25.315022032140295,0.4780034248572212,0.7578329022266079,0.0295258339480877,704,7.76479826954119,0.006861982284584,0.010727396855772635,22.181707057862994,1.6871397187459891,1.9359138980359878,211,7.758396519625189,0.003495210050266913,0.005953715842603456,22.001701314420902,2.0988616781605565,2.170552778003453,493,7.760266606009343,0.0044094390969169,0.0060628022862371,21.95205792989896,2.0619791580226696,2.116659000003333,704,0.5725225019847459,0.10092972490331513,0.5716324948947148,0.11305941639759917,0.5666107022059279,0.10955328381367622
8,[7.8 7.9],7.85,7.855891313773028,0.005512803642407,28.712579341278175,0.6080674492311806,0.7777750400367379,0.0343906420782278,464,7.857838109080823,0.0031647661236671,22.27355197697007,0.3486719973391199,0.4659526108312452,0.0149780647907623,1192,7.857355550961383,0.0027446513991989,23.866830021086773,0.3024735517240144,0.5355929210462644,0.013991165939346,1656,7.855891313773028,0.005512803642407,29.206741686701378,0.6080674492311806,0.8047774605930657,0.0350325383685482,464,7.857838109080823,0.0031647661236671,24.30701800923229,0.3486719973391199,0.5549146052484818,0.0164254823662858,1192,7.857355550961383,0.0027446513991989,25.519409526749797,0.3024735517240144,0.6123314852729715,0.0150225326825313,1656,7.85966256591774,0.0068682531534714,0.008807037264591635,26.869114083685524,0.6614633520414657,0.8984875006968358,464,7.861374896703505,0.0019006415821412,0.0036916369053950964,22.18705238887899,1.0879977040504727,1.1425021513098133,1192,7.859594529859291,0.0015614323588187,0.003157717896565589,23.26507901739411,1.1804291386736807,1.218566042905524,1656,0.6752195804824372,0.04718820849852401,0.4585906755650966,0.04739002002330824,0.5063087501444985,0.05316595029848375
9,[7.9 8. ],7.95,7.950719524040843,0.0044527765614215,30.036716027912014,0.462278939841219,0.6842050453803276,0.0221980749157574,729,7.949154347109817,0.0025399037531238,24.68538993617887,0.2758920360561852,0.4637955054033548,0.0107160294386393,1891,7.949538585003347,0.0022062223516712,26.09083553316145,0.2369083784484796,0.5176524673910945,0.0097615880752812,2620,7.950719524040843,0.0044527765614215,30.10246430149429,0.462278939841219,0.6872036778079658,0.0222515330511433,729,7.949154347109817,0.0025399037531238,26.46933134675253,0.2758920360561852,0.5332520000789511,0.0115454386191665,1891,7.949538585003347,0.0022062223516712,27.42351926708544,0.2369083784484796,0.5718849773567524,0.010299126928867,2620,7.951037827152658,0.0010680252497107,0.004579071635164084,29.623215360527112,0.05991927895095017,0.4661460481552141,729,7.949257206972007,0.0010875359286615,0.0027629414527387285,26.134036616850302,0.20968368055969222,0.3465308953791659,1891,7.949619015360636,0.0005208143013018,0.0022668622810956295,27.00732384449406,0.2047109510223884,0.3131008675292656,2620,0.6650089093274789,0.022072243252146333,0.5197047457139748,0.01417335149054127,0.5545554629176385,0.013179909964119529
