Name                    |MPF            |     plx|  e_plx|  Teff|e_Teff| logg|e_logg|   plxsp| e_plxsp|Comment
------------------------|---------------|--------|-------|------|-----|-----|-----|--------|--------|-----------------
SDSS J000022.88-000635.7|51791-0387-166 | 2.41460|0.28810| 23013|  473|7.443|0.064| 1.84623| 0.12224|
SDSS J000034.06-052922.4|54380-2624-261 | 5.12254|0.17227| 20299|  148|7.799|0.022| 5.23086| 0.10821|
SDSS J000034.07-010820.0|52203-0685-187 | 5.68123|0.23765| 13006|  222|8.025|0.054| 5.59269| 0.25335|
SDSS J000051.85+272405.3|54452-2824-272 | 2.17536|0.38865| 21961|  371|7.946|0.051| 2.25211| 0.10966|
SDSS J000100.42-042742.9|54327-2630-359 | 2.41227|0.32521| 17138|  225|7.604|0.041| 2.50832| 0.09545|
SDSS J000126.85+272000.1|54368-2803-211 | 9.67890|0.12561| 10040|   48|7.946|0.045| 9.09047| 0.32092|
SDSS J000228.16+235547.9|54389-2822-251 | 2.73712|0.38966| 27218|  296|7.929|0.046| 1.97087| 0.08451|
SDSS J000241.09-052627.1|54327-2630-235 | 2.63657|0.65421| 24292|  543|7.739|0.075| 1.42201| 0.10281|
SDSS J000302.59+240555.8|54389-2822-211 | 3.34161|0.32785| 13177|  219|8.002|0.050| 3.64886| 0.15661|
SDSS J000410.42-034008.6|54380-2624-458 |21.07593|0.09974|  7054|   26|7.916|0.045|20.64016| 0.68206|
SDSS J000421.63+282121.9|54452-2824-536 | 3.41594|0.35232| 17144|  202|7.956|0.038| 2.91297| 0.09923|
SDSS J000423.83+290103.0|54452-2824-593 | 1.51298|0.38241| 22448|  411|8.009|0.057| 1.99157| 0.10844|
SDSS J000505.85-040449.3|54327-2630-539 | 3.10884|0.40019| 22936|  243|7.915|0.033| 2.70113| 0.08642|
SDSS J000546.70+291539.0|54452-2824-621 | 4.10564|0.21071| 15507|  156|8.006|0.028| 3.80278| 0.10167|
SDSS J000546.75+273049.2|54368-2803-110 | 6.37426|0.11096| 20477|  302|8.304|0.045| 5.80304| 0.25765|
SDSS J000611.23-044455.6|54327-2630-551 | 4.15053|0.23109| 17629|  149|7.942|0.027| 3.88266| 0.09556|
SDSS J000626.69+242441.7|54389-2822-147 | 3.44523|0.28856| 18817|  270|7.975|0.046| 2.78664| 0.11888|
SDSS J000635.36-050529.7|54327-2630-114 |10.06009|0.30218|  7116|   78|8.030|0.132| 9.42081| 0.90434|
SDSS J000712.66+241255.3|54389-2822-054 | 1.67835|0.33158| 22205|  507|7.978|0.070| 1.95842| 0.12985|
SDSS J000737.18-090629.3|52141-0651-416 | 3.21435|0.26394| 20246|  411|7.876|0.062| 2.93226| 0.16679|
SDSS J000738.04+004003.3|52994-1490-507 | 5.38491|0.28482| 10259|   72|8.088|0.058| 6.22082| 0.30047|
SDSS J000738.52+245715.0|54389-2822-112 | 2.68739|0.25732| 17566|  226|8.033|0.041| 2.96082| 0.11118|
SDSS J000757.81-050251.5|54327-2630-078 | 4.66132|0.35358| 11173|  141|7.901|0.062| 4.14945| 0.21591|
SDSS J000946.45+144310.7|52251-0751-101 | 4.53322|0.13670| 24568|  241|7.887|0.034| 3.95580| 0.12982|
SDSS J001000.93+254826.2|54389-2822-613 | 3.49644|0.25942| 12632|  174|8.079|0.042| 4.18085| 0.14796|
SDSS J001148.20-092110.3|52138-0652-348 | 5.77686|0.16660| 12686|  191|7.802|0.058| 5.17986| 0.23425|
SDSS J001245.61+143956.4|52251-0752-221 | 2.94594|0.25994| 10942|  127|7.773|0.064| 4.92650| 0.25799|
SDSS J001339.11+001924.9|51795-0389-431 |24.96027|0.05954|  9470|   20|8.038|0.021|26.07522| 0.45268|
SDSS J001518.88+135332.9|52251-0752-099 |12.50384|0.13191|  8588|   32|7.955|0.043|12.42451| 0.40819|
SDSS J001655.50-005604.6|52518-0687-100 | 5.11023|0.18593| 16020|  277|7.937|0.052| 4.68957| 0.22318|
SDSS J001836.11+003151.2|52203-0688-348 | 7.15287|0.14099| 11641|  120|7.938|0.044| 7.07246| 0.26063|
SDSS J001840.01+344154.3|52999-1468-181 |10.43523|0.15129|  7474|   42|7.943|0.068|10.16711| 0.51185|
SDSS J002049.39+004435.1|51900-0390-455 |21.17090|0.10387|  8933|   22|8.486|0.025|21.53499| 0.50716|
SDSS J002126.69-093714.2|53321-1913-433 | 3.40774|0.31482| 18927|  201|7.939|0.034| 3.05034| 0.09671|
SDSS J002309.03-003342.1|52203-0688-164 | 9.68591|0.10955| 16409|  112|8.110|0.020| 9.58371| 0.18629|
SDSS J002335.57+064325.5|54738-3106-294 | 8.85767|0.23785|  7531|   58|7.910|0.093| 8.28993| 0.55646|
SDSS J002430.27-090854.9|53293-1912-448 | 4.18054|0.15314| 22402|  257|7.951|0.035| 3.86409| 0.13076|
SDSS J002516.45-095238.6|53321-1913-512 | 4.53291|0.19577| 10957|   60|8.214|0.028| 7.23302| 0.19348|
SDSS J002528.96-110723.0|53321-1913-097 | 3.00305|0.36768| 18561|  419|7.946|0.072| 2.26283| 0.14829|
SDSS J002544.73-092739.2|53321-1913-513 | 4.24216|0.28171| 13493|  220|8.030|0.038| 4.23056| 0.15520|
SDSS J002602.29-103752.0|52145-0653-141 |11.25413|0.07937|  9999|   29|7.760|0.029|13.68040| 0.30291|
SDSS J002611.94-094613.4|53321-1913-543 | 2.91470|0.32518| 19646|  217|7.904|0.034| 2.76818| 0.08997|
SDSS J002617.18-102857.9|53321-1913-106 | 5.13811|0.17058| 15028|  154|8.033|0.025| 5.05212| 0.12573|
SDSS J002634.39+353337.6|52999-1468-634 | 9.98196|0.17730|  8706|   30|8.081|0.038| 9.97454| 0.30453|
SDSS J002636.48-100330.5|52145-0653-115 | 3.38039|0.19055| 20261|  334|7.837|0.050| 3.11133| 0.14394|
SDSS J002645.52-002531.7|52262-0689-264 | 7.95940|0.12311|  8040|   45|7.818|0.068|11.77411| 0.58000|
SDSS J002806.49+010112.2|51782-0391-443 | 2.95658|0.15507| 27352|  286|7.837|0.045| 2.79071| 0.11713|
SDSS J003033.12+070657.6|53709-2312-320 | 6.65442|0.15806| 13259|  228|8.249|0.044| 6.98377| 0.28343|
SDSS J003054.47-092723.0|52146-0654-428 | 2.39071|0.31810| 23408|  495|7.593|0.067| 2.05749| 0.13731|
SDSS J003202.36+155636.8|51821-0417-535 | 2.89765|0.23473| 22910|  415|7.932|0.058| 2.55473| 0.14082|
SDSS J003230.46-175323.3|54453-2848-503 | 9.44399|0.09480| 13554|  133|8.034|0.021| 9.96677| 0.21036|
SDSS J003356.84+062401.1|53709-2312-250 | 5.52027|0.15041| 22238|  170|7.985|0.023| 5.52712| 0.12411|
SDSS J003426.93+151801.8|51884-0418-399 |22.34109|0.09883|  6930|   29|7.910|0.053|20.67089| 0.80505|
SDSS J003508.26+135045.3|51817-0418-242 | 4.17489|0.08022| 23228|  199|7.392|0.027| 4.02053| 0.11532|
SDSS J003511.65+001151.5|52262-0689-638 |14.99345|0.07389|  9520|   25|7.974|0.028|14.97713| 0.33109|
SDSS J003641.61+242205.0|53327-2038-307 |11.05669|0.16028|  7899|   58|8.133|0.084|12.99201| 0.85827|
SDSS J003643.37+254105.8|53349-2058-334 | 3.39631|0.21417| 21037|  236|7.963|0.034| 3.09430| 0.09967|
SDSS J003719.12+003139.3|52261-0690-422 | 6.25363|0.25460| 10849|   72|8.262|0.036| 9.39123| 0.32482|
SDSS J003756.55+242146.6|53349-2058-267 | 2.97084|0.40840| 16511|  267|7.962|0.050| 2.66751| 0.12213|
SDSS J003801.20+152837.9|51884-0418-490 | 4.31319|0.14669| 22979|  246|8.081|0.034| 3.98184| 0.13236|
SDSS J003900.84+155009.0|51817-0418-537 | 3.42794|0.31659| 14572|  645|8.259|0.057| 4.11729| 0.30441|
SDSS J003958.46+250937.5|53349-2058-470 | 3.16904|0.35675| 17039|  180|8.020|0.033| 3.03162| 0.09134|
