Name                    |MPF            |     plx|  e_plx|  Teff|e_Teff| logg|e_logg|   plxsp| e_plxsp|Comment
------------------------|---------------|--------|-------|------|-----|-----|-----|--------|--------|-----------------
SDSS J000006.75-004653.9|56956-7850-0719| 4.67747|0.35240| 11309|  139|8.071|0.052| 4.13786| 0.19743|
SDSS J000022.87-000635.6|56959-7848-0062| 2.41460|0.28810| 22497|  185|7.492|0.025| 1.90322| 0.04927|
SDSS J000034.09-052922.4|56564-7034-0336| 5.12254|0.17227| 19983|  131|7.785|0.020| 5.15266| 0.09676|
SDSS J000104.05+000355.8|56959-7848-0026| 3.53414|0.34839| 13126|  157|8.100|0.036| 3.54205| 0.11033|
SDSS J000106.93+082825.5|55863-4534-0466| 6.60360|0.30072|  7682|   62|7.931|0.097| 6.88215| 0.48615|
SDSS J000127.48+003759.1|55477-4216-0806| 1.46308|0.39329| 18542|  288|7.908|0.050| 2.26347| 0.10358|
SDSS J000142.84+251506.1|56543-6513-0918| 2.91308|0.20904| 23951|  223|7.893|0.031| 2.85069| 0.08554|
SDSS J000228.17+235547.9|56543-6513-0095| 2.73712|0.38966| 26458|  337|7.871|0.050| 1.94652| 0.09142|
SDSS J000243.16+073856.2|55860-4535-0842| 4.64641|0.16288| 19402|  137|7.972|0.022| 4.18846| 0.08821|
SDSS J000252.80+135332.4|56268-6177-0224| 7.02539|0.33553|  8712|   41|7.894|0.055| 6.25978| 0.25893|
SDSS J000259.58+252608.1|56543-6513-0952| 1.51595|0.29419| 20325|  387|7.497|0.060| 1.58697| 0.09272|
SDSS J000302.59+240555.5|56543-6513-0024| 3.34161|0.32785| 13475|  314|7.985|0.051| 3.55123| 0.17750|
SDSS J000310.37+071801.1|55860-4535-0159| 2.33738|0.22768| 30625|  223|7.871|0.048| 1.83587| 0.07535|
SDSS J000416.58+153146.4|56269-6172-0142| 4.57973|0.10381| 25811|  120|7.886|0.017| 4.30448| 0.07041|
SDSS J000428.67+062124.8|55860-4535-0094| 2.14551|0.38901| 23093|  432|7.931|0.059| 1.86436| 0.10526|
SDSS J000446.38-051833.5|56564-7034-0098| 8.54511|0.43479|  7881|   71|8.171|0.101| 8.14791| 0.65036|
SDSS J000502.50-031011.7|55539-4365-0482| 4.22076|0.22162| 19624|  194|7.965|0.031| 3.89904| 0.11540|
SDSS J000505.85-040449.5|56564-7034-0928| 3.10884|0.40019| 21894|  436|7.873|0.060| 2.64851| 0.15089|
SDSS J000522.62+152706.5|56268-6177-0907| 5.26737|0.21269| 14435|  185|7.982|0.025| 5.19619| 0.14020|
SDSS J000611.21-044455.8|56564-7034-0039| 4.15053|0.23109| 17283|  194|7.910|0.036| 3.79101| 0.12252|
SDSS J000626.68+242441.4|56543-6880-0433| 3.44523|0.28856| 18226|  309|7.891|0.055| 2.70560| 0.13463|
SDSS J000652.86+064536.8|55831-4415-0902| 1.99860|0.34616| 25828|  434|7.719|0.062| 1.65633| 0.09806|
SDSS J000700.96-024956.9|55539-4365-0430| 5.57075|0.32567|  8522|   43|7.898|0.059| 6.45830| 0.28423|
SDSS J000705.16+062533.4|55831-4415-0910| 9.49621|0.07948| 24865|   99|8.366|0.015| 8.92423| 0.13692|
SDSS J000716.85-101908.6|56625-7168-0188| 1.83999|0.51991| 19412|  383|7.825|0.062| 2.00986| 0.11652|
SDSS J000726.58+142903.0|56191-6112-0532| 6.06034|0.15356| 15465|  128|8.096|0.021| 5.78977| 0.12214|
SDSS J000737.20-090629.7|56625-7168-0802| 3.21435|0.26394| 19169|  225|7.850|0.037| 2.92793| 0.10165|
SDSS J000738.51+245714.9|56543-6880-0612| 2.68739|0.25732| 17594|  283|8.069|0.050| 2.94878| 0.13622|
SDSS J000746.91+082236.0|55863-4534-0132| 6.80308|0.12168| 16641|   89|8.017|0.016| 7.01268| 0.10684|
SDSS J000758.17-024941.8|55539-4365-0350| 9.33771|0.30935|  7150|   71|7.952|0.121| 8.20567| 0.71209|
SDSS J000835.09+075324.5|55863-4534-0088| 2.31648|0.28936| 27254|  243|7.908|0.038| 2.32422| 0.08252|
SDSS J000917.43+052729.4|55831-4415-0014| 7.19540|0.32639|  8696|   45|8.033|0.057| 7.38069| 0.32975|
SDSS J000933.31+082857.1|55863-4534-0066| 4.90108|0.39518| 10341|   79|8.187|0.060| 4.68105| 0.24345|
SDSS J000946.47+144310.3|56213-6178-0364| 4.53322|0.13670| 24830|  183|7.994|0.026| 4.06759| 0.10261|
SDSS J001010.55+165755.9|56238-6173-0056| 5.98121|0.24213| 10070|   55|8.058|0.051| 5.86995| 0.24163|
SDSS J001043.54+253829.1|56543-6880-0798| 2.04355|0.15626| 32923|  193|7.806|0.043| 2.06100| 0.07732|
SDSS J001059.62+134809.1|56191-6112-0351| 2.24066|0.39034| 17643|  242|7.797|0.045| 2.44699| 0.09870|
SDSS J001148.20-092110.6|56625-7168-0994| 5.77686|0.16660| 13035|  146|8.135|0.033| 6.15402| 0.17683|
SDSS J001232.65+062601.4|55828-4416-0759| 2.71761|0.47860| 19473|  409|7.856|0.066| 2.02637| 0.12482|
SDSS J001240.79+243416.6|56243-6279-0494| 6.31418|0.09890| 19516|  174|8.031|0.028| 6.15689| 0.16570|
SDSS J001317.35-094900.5|56628-7169-0276| 3.42475|0.50887| 18011|  289|8.318|0.050| 2.75398| 0.13524|
SDSS J001549.44+245604.9|56543-6880-0990| 2.24713|0.15067| 37194|  459|7.803|0.063| 2.04604| 0.11481|
SDSS J001624.08+082157.0|55806-4537-0542| 3.76472|0.30858| 17065|  273|7.922|0.052| 3.58954| 0.16509|
SDSS J001632.43+255924.0|56269-6276-0139| 4.52293|0.16549| 19810|  164|7.921|0.026| 3.88045| 0.09662|
SDSS J001655.36+050442.1|55828-4416-0066|10.52541|0.30489|  7141|   60|7.900|0.103| 8.92920| 0.65732|
SDSS J001655.55-005604.5|55480-4219-0452| 5.11023|0.18593| 15554|  134|8.032|0.024| 5.02997| 0.11619|
SDSS J001712.69+250443.0|56243-6279-0657| 3.65237|0.25102| 16818|  221|7.960|0.042| 3.31594| 0.12700|
SDSS J001730.62+004224.5|55479-4218-0928| 1.42931|0.36644| 23407|  444|7.420|0.060| 1.26224| 0.07903|
SDSS J001737.39+240911.7|56540-6881-0904| 4.54882|0.15711| 17893|  147|7.985|0.026| 4.30514| 0.10342|
SDSS J002049.54+004433.9|55480-4219-0718|21.17090|0.10387|  8917|   23|8.387|0.026|19.90207| 0.47177|
SDSS J002107.03-003017.1|56955-7865-0699| 2.86243|0.35443| 15899|  229|7.957|0.042| 2.75771| 0.10783|
SDSS J002122.14+001729.9|55480-4219-0770| 2.43646|0.32232| 22167|  479|7.790|0.066| 1.75647| 0.11044|
SDSS J002150.16+063438.2|55829-4417-0678| 7.76734|0.18841| 14357|  221|8.407|0.026| 7.79945| 0.23874|
SDSS J002227.80+151920.7|56217-6185-0260| 4.01391|0.15955| 31544|  110|8.216|0.024| 3.83032| 0.08117|
SDSS J002309.11-003341.9|55480-4219-0142| 9.68591|0.10955| 15766|   82|8.111|0.014| 9.86969| 0.13802|
SDSS J002437.14+253357.9|56570-6280-0242| 2.76264|0.26688| 20688|  300|7.631|0.045| 2.14267| 0.09202|
SDSS J002625.50+253739.5|56570-6280-0178| 2.54340|0.26817| 22648|  431|7.880|0.059| 2.48275| 0.13981|
SDSS J002806.50+010111.6|55447-4220-0749| 2.95658|0.15507| 26480|  180|7.812|0.027| 2.79524| 0.07164|
SDSS J002830.36+260255.6|56570-6280-0042| 2.93143|0.26055| 16612|  287|7.646|0.056| 2.83864| 0.14528|
SDSS J002844.19+241511.1|56239-6283-0558| 0.47672|0.17707| 79346| 4011|6.873|0.113| 0.47999| 0.06544|
SDSS J002925.62+001552.7|55181-3586-0612| 6.35838|0.28967| 18790|  273|7.616|0.047| 2.37301| 0.10594|
SDSS J002945.75+144214.5|56248-6191-0780| 5.48718|0.18982| 11147|   83|7.988|0.035| 5.39829| 0.16599|
SDSS J003134.65-002105.6|55447-4220-0021| 2.53457|0.40455| 18265|  287|8.197|0.050| 2.71966| 0.12964|
SDSS J003202.37+155636.8|56269-6192-0276| 2.89765|0.23473| 22873|  308|7.967|0.042| 2.51505| 0.10202|
SDSS J003328.03+054039.1|55862-4418-0855|13.17511|0.16936|  7127|   44|7.856|0.077|11.41512| 0.62828|
SDSS J003356.85+062401.0|55862-4418-0876| 5.52027|0.15041| 22001|  129|7.958|0.018| 5.40039| 0.09401|
SDSS J003424.42+102641.9|55863-4540-0862|10.30073|0.19362|  7384|   49|7.894|0.080| 9.19258| 0.53744|
SDSS J003433.16+080959.9|55882-4541-0593| 8.78620|0.16668|  9816|   42|8.333|0.040| 8.53302| 0.30774|
SDSS J003508.28+135044.8|56189-6196-0781| 4.17489|0.08022| 22623|  130|7.383|0.018| 3.94818| 0.07531|
SDSS J003533.74+240253.1|56239-6283-0848| 2.36781|0.22977| 22458|  336|7.899|0.046| 2.38432| 0.10520|
SDSS J003643.37+254105.7|56310-6284-0716| 3.39631|0.21417| 20571|  210|7.961|0.031| 3.09009| 0.09009|
SDSS J003719.12+003138.9|55181-3586-0994| 6.25363|0.25460| 18223|  197|7.989|0.035| 4.93564| 0.15902|
SDSS J003738.04-005239.6|55184-3588-0402| 2.32885|0.34103| 19379|  217|7.837|0.035| 2.16298| 0.07163|
SDSS J003801.18+152837.3|56211-6198-0410| 4.31319|0.14669| 22509|  272|8.145|0.038| 4.09270| 0.15249|
SDSS J003900.81+155008.7|56191-6197-0744| 3.42794|0.31659| 14287|  475|8.196|0.044| 3.87143| 0.21718|
SDSS J003915.33+014113.3|57260-7856-0377| 3.85726|0.25943| 12974|  219|7.916|0.055| 3.50025| 0.15975|
